line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,17 5,Of Simple Mercantile Defraudment,7.75,2.0,2.0,071157001,mistral
2,Of Simple Merchantile Defraudment,,1.0,1.0,1.0,071157001,mistral
3,more advantages than it were to be wished it had over indi:,more advantaged than it were to be wished it had over indi-,0.03389830508474576,0.16666666666666666,0.16666666666666666,071157001,mistral
4,:gent merit: and an artificial arrangement of this sort would,gent merit: and an artificial arrangement of this sort would,0.01639344262295082,0.1,0.1,071157001,mistral
5,add to the natural incitements which urge a man from all,add to the natural incitements which urge a man from all,0.0,0.0,0.0,071157001,mistral
6,quarters to seek the acquirement of wealth by dishonesty,quarters to seek the acquirement of wealth by dishonesty,0.0,0.0,0.0,071157001,mistral
7,and other unworthy means. As to the affections of the peo:,and other unworthy means. As to the affections of the peo-,0.017241379310344827,0.09090909090909091,0.09090909090909091,071157001,mistral
8,less numerous class over the more numerous will na:,"ple, so striking and oppressive a preference given to the",0.8627450980392157,1.1111111111111112,1.0,071157001,mistral
9,real: for a man in responsible circumstances may probably,less numerous class over the more numerous will na-,0.8245614035087719,1.0,1.0,071157001,mistral
10,in point of fact suffer as much by being deprived of part,turally be but ill relished by the latter.,0.7894736842105263,0.9166666666666666,0.9166666666666666,071157001,mistral
11,"of his property, considering the share of reputation that",,1.0,1.0,1.0,071157001,mistral
12,"goes along with it, as a man in irresponsible circumstances","The difference, it is true, is rather apparent than",0.7627118644067796,1.0,1.0,071157001,mistral
13,:nishment: and if both were to undergo the same corporal,real: for a man in responsible circumstances may probably,0.8392857142857143,1.0,1.0,071157001,mistral
14,"punishment, the punishment, that is the suffering, though",in point of fact suffer as much by being deprived of part,0.8245614035087719,1.5,1.5,071157001,mistral
15,":ter.] But this distinction , however real, is too subtle to be gene:","of his property, considering the share of reputation that",0.7971014492753623,1.0,1.0,071157001,mistral
16,"The difference, it is true, is rather apparent than","goes along with it, as a man in irresponsible circumstances",0.8823529411764706,1.1111111111111112,1.1111111111111112,071157001,mistral
17,would be by being made to undergo a severe corporal pu:,would be by being made to undergo a severe corporal pu-,0.01818181818181818,0.09090909090909091,0.09090909090909091,071157001,mistral
18,nominally [the same ] would in reality be much greater to the lat:,nishment: and if both were to undergo the same corporal,0.7424242424242424,1.0,0.7692307692307693,071157001,mistral
19,:rally,"punishment, the punishment, that is the suffering, though",9.333333333333334,8.0,8.0,071157001,mistral
20,":ple, so striking and oppressive a preference given to the","nominally the same, would in reality be much greater to the lat-",0.8275862068965517,1.0,1.0,071157001,mistral
21,:turally be but ill relished by the latter.,"ter. But this distinction, however real, is too subtle to be gene-",1.1627906976744187,1.5,1.375,071157001,mistral
22,"equal, very much the reverse.",rally,0.896551724137931,1.0,1.0,071157001,mistral
