line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of Family Imposture.,C.  ,0.95,1.0,1.0,071112003,openai
2,"husband. This probability will be weakened only, not destroy=",Of Family Imposture.  ,0.8524590163934426,1.0,1.0,071112003,openai
3,":ed, by the intervention of an Adulterer. It may indeed be perfect=",,1.0,1.0,1.0,071112003,openai
4,:ly destroyed by facts which prove the impossibility of a con=,"husband. This probability will be weakened only, not destroy=  ",0.8225806451612904,1.0,1.0,071112003,openai
5,:jugal intercourse with the husband; such an absence or in=,,1.0,1.0,1.0,071112003,openai
6,:disposition. But such facts are commonly notorious at the time;,"ed, by the intervention of an Adulterer. It may indeed be perfect=  ",0.90625,1.2,1.1,071112003,openai
7,in particular they must necessarily be known at the time to the,,1.0,1.0,1.0,071112003,openai
8,"party most interested in the case, viz: the Husband: so that if",ly destroyed by facts which prove the impossibility of a con=  ,0.8095238095238095,0.9166666666666666,0.9166666666666666,071112003,openai
9,"they are not brought to light at the very time, they are never",,1.0,1.0,1.0,071112003,openai
10,brought to light at all. But the fact of a suppositio partus,"jugal intercourse with the husband, such as absence or in=  ",0.8,1.0,0.9166666666666666,071112003,openai
11,may be brought to light at any distance of time by the treach=,,1.0,1.0,1.0,071112003,openai
12,:ery or repentance of persons privy to the imposture. The,disposition. But such facts are commonly notorious at the time;  ,0.9298245614035088,1.0,0.9,071112003,openai
13,former case is therefore is attended with much less mis-,,1.0,1.0,1.0,071112003,openai
14,-chief than the latter.,in particular they must necessarily be known at the time to the  ,2.217391304347826,2.75,2.75,071112003,openai
15,7.,,1.0,1.0,1.0,071112003,openai
16,C,"party most interested in the case, viz: the Husband: so that if  ",63.0,12.0,12.0,071112003,openai
