line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,11.,C,1.0,1.0,1.0,071003003,gemini
2,C,Of Justifications,17.0,2.0,2.0,071003003,gemini
3,Of Justifications.,Children.,0.8333333333333334,1.0,1.0,071003003,gemini
4,3. Those of a Schoolmaster over his Scholar. See Law of School,3. Those of a Schoolmaster over his Scholar. See Law of School,0.0,0.0,0.0,071003003,gemini
5,masters and Scholars.,masters and Scholars.,0.0,0.0,0.0,071003003,gemini
6,5. Those of a Guardian over his Ward . See Law of Guardi:,4. Those of a Domestic Preceptor over his Pupil. See Law of,0.543859649122807,0.46153846153846156,0.38461538461538464,071003003,gemini
7,6 Those of Adults over Infants in the same Family. See ib.,Preceptors and Pupils.,0.8103448275862069,1.0,1.0,071003003,gemini
8,vants - The Law of Apprentices _ Law of Journeymen _ Law,5. Those of a Guardian over his Ward. See Law of Guardi-,0.875,1.0,0.75,071003003,gemini
9,Justification 6.th Military Powers & Subservience,ans and Wards.,0.8571428571428571,1.0,1.0,071003003,gemini
10,Thereto . _,6 Those of Adults over Infants in the same Family. See it,4.454545454545454,4.0,4.0,071003003,gemini
11,Powers which one man may have over the person of,Law of Infants.,0.8333333333333334,1.0,0.9,071003003,gemini
12,these See the Army and the Navy Laws.,7. Those of a Master over his Servant. See the Law of Ser-,1.1081081081081081,1.5,1.375,071003003,gemini
13,2. Those of a military officer over persons at large in a time,vants. The Law of Apprentices – Law of Journeymen – Law,0.7580645161290323,1.0,0.9230769230769231,071003003,gemini
14,of,of Slaves. (a),6.0,2.0,2.0,071003003,gemini
15,Children.,Justification 6th Military Powers & Sufficience),4.666666666666667,6.0,6.0,071003003,gemini
16,4. Those of a Domestic Preceptor over his Pupil . See Law of,thereto. –,0.8666666666666667,1.0,1.0,071003003,gemini
17,Preceptors and Pupils.,Powers which one man may have over the person of,1.7727272727272727,3.3333333333333335,3.3333333333333335,071003003,gemini
18,Law of Infants.,another on a military account are),1.8666666666666667,2.0,2.0,071003003,gemini
19,7. Those of a Master over his Servant - See the Law of Ser,1. Those of a military Superior over his Subordinates. See,0.603448275862069,0.6428571428571429,0.5714285714285714,071003003,gemini
20,of the Slaves. (a),Constitutional Code. Laws of,1.2222222222222223,1.0,0.75,071003003,gemini
21,another on a military account are,these See the Army and the Navy Laws.,0.9090909090909091,1.3333333333333333,1.3333333333333333,071003003,gemini
22,1. Those of a military Superior over his Subordinates. For,2. Those of a military officer over persons at large in a time,0.5344827586206896,0.8,0.8,071003003,gemini
23,Constitutional Code - Laws ofof,of,0.9354838709677419,1.0,1.0,071003003,gemini
24,:ans and Wards.,Note.,0.9333333333333333,1.0,1.0,071003003,gemini
25,ib.,(a),1.0,1.0,1.0,071003003,gemini
26,ib.,There ought to be a separate Title for every species,17.0,10.0,10.0,071003003,gemini
27,ib.,of servant which has any Article of Law peculiar to it.,17.666666666666668,11.0,11.0,071003003,gemini
