line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,founder's Law. 8. The Chymists Law &c. &c.,Of Justifications.,0.9047619047619048,1.0,1.0,071002003,mistral
2,6. From Storms. See the Seafaring-man's Law Sect. Con-,,1.0,1.0,1.0,071002003,mistral
3,:cerning Storms.,Sumner's Law & The Chymical Savage's &c.,2.0625,3.5,3.5,071002003,mistral
4,7. From the Plague and other infectious diseases. See Laws,,1.0,1.0,1.0,071002003,mistral
5,concerning the Plague &c.,6. From Sumner see the unsparing municipal law itself bor-,1.8,2.25,2.25,071002003,mistral
6,8. From Persons insane: See Laws concerning persons,rowing Slaves.,0.8235294117647058,1.0,1.0,071002003,mistral
7,Maniac's Law,,1.0,1.0,1.0,071002003,mistral
8,insane or 1. The Madman's Law: 2. The Ideot's Law. 2. The,"7. From the Stage and other infectious diseases, the Laws",0.8421052631578947,1.0,1.0,071002003,mistral
9,Instructions to the Legislator.,concerning the Plague &c.,0.7096774193548387,1.0,0.75,071002003,mistral
10,It is not clear that in every one of the several titles of,,1.0,1.0,1.0,071002003,mistral
11,Law above mentioned there will need a provision or set of,8. From Treason impute the laws concerning personal,0.7894736842105263,1.0,1.0,071002003,mistral
12,"provisions, authorising one person to trespass upon the per-","violence etc. Backswordsmanship & the civil law, & the",0.8,1.0,0.8888888888888888,071002003,mistral
13,:son of another. To determine that question with respect to,Maritime Law,0.864406779661017,1.0,1.0,071002003,mistral
14,any of them would be to enter upon a branch of Law fo:,,1.0,1.0,1.0,071002003,mistral
15,:reign to that in hand. Nor with respect to every one of,Justifications of the Legislator.,0.75,1.0,0.9166666666666666,071002003,mistral
16,"these titles could such provisions be exhibited in terminis,",,1.0,1.0,1.0,071002003,mistral
17,in any book of universal Law: since they will need to be,It is not clear that in every one of the several titles of,0.8392857142857143,1.0833333333333333,0.9166666666666666,071002003,mistral
18,different according to the various local circumstances of dif:,law above mentioned there will need a provision or set of,0.7903225806451613,1.2222222222222223,1.1111111111111112,071002003,mistral
19,:ferent states and provinces. The above references are exhi:,provisions authorising one person to knock down the head,0.8,1.0,1.0,071002003,mistral
20,":bited only in the way of example, to give a general idea)",upon the person of another. To determine that question will require to,0.896551724137931,1.0,0.75,071002003,mistral
21,of the mode of reference to be adopted on an occa:,say if them would be to enter upon a branch of law for-,0.78,1.0909090909090908,0.9090909090909091,071002003,mistral
22,":sion, like the present.",eign to that in hand. But with respect to every one of,1.7916666666666667,3.0,3.0,071002003,mistral
23,of,these titles could such provisions be included in themselves,29.5,9.0,9.0,071002003,mistral
24,"In like manner, neither is it clear that the names",in any book of universal law: since they will need to be,0.86,1.2,1.2,071002003,mistral
25,Of Justifications.,different according to the various local circumstances of dif-,2.9444444444444446,4.5,4.5,071002003,mistral
26,C,ferent states and provinces. The above references are col-,58.0,9.0,9.0,071002003,mistral
27,7.,"lected only in the way of example, to give a general idea",28.5,12.0,12.0,071002003,mistral
