line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of Family Imposture.,C.,0.95,1.0,1.0,071112003,openai
2,"husband. This probability will be weakened only, not destroy=",,1.0,1.0,1.0,071112003,openai
3,":ed, by the intervention of an Adulterer. It may indeed be perfect=",Of Family Imposture.,0.8805970149253731,1.0,1.0,071112003,openai
4,:ly destroyed by facts which prove the impossibility of a con=,,1.0,1.0,1.0,071112003,openai
5,:jugal intercourse with the husband; such an absence or in=,"husband. This probability will be weakened only, not destroy-",0.864406779661017,1.0,1.0,071112003,openai
6,:disposition. But such facts are commonly notorious at the time;,,1.0,1.0,1.0,071112003,openai
7,in particular they must necessarily be known at the time to the,"ed, by the intervention of an Adulterer. It may indeed be perfect-",0.8888888888888888,1.0,0.8333333333333334,071112003,openai
8,"party most interested in the case, viz: the Husband: so that if",,1.0,1.0,1.0,071112003,openai
9,"they are not brought to light at the very time, they are never",ly destroyed by facts which prove the impossibility of a con-,0.7903225806451613,0.9230769230769231,0.9230769230769231,071112003,openai
10,brought to light at all. But the fact of a suppositio partus,,1.0,1.0,1.0,071112003,openai
11,may be brought to light at any distance of time by the treach=,jugal intercourse with the husband; such as absence or in-,0.7419354838709677,1.0,0.9230769230769231,071112003,openai
12,:ery or repentance of persons privy to the imposture. The,,1.0,1.0,1.0,071112003,openai
13,former case is therefore is attended with much less mis-,disposition. But such facts are commonly notorious at the time;,0.9464285714285714,1.0,1.0,071112003,openai
14,-chief than the latter.,,1.0,1.0,1.0,071112003,openai
15,7.,in particular they must necessarily be known at the time to the,31.5,12.0,12.0,071112003,openai
16,C,,1.0,1.0,1.0,071112003,openai
