line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,17 5,Of Simple Mercantile Difraudment,7.75,2.0,2.0,071157001,mistral
2,Of Simple Merchantile Defraudment,more advantaged than it were to be wished it had over indi-,1.4242424242424243,3.0,3.0,071157001,mistral
3,more advantages than it were to be wished it had over indi:,-gent merit: and an artificial arrangement of this sort would,0.864406779661017,1.0,1.0,071157001,mistral
4,:gent merit: and an artificial arrangement of this sort would,add to the natural incitements which urge a man from all,0.7868852459016393,1.1,1.1,071157001,mistral
5,add to the natural incitements which urge a man from all,quarters to seek the acquirement of wealth by dishonesty,0.8035714285714286,0.9090909090909091,0.8181818181818182,071157001,mistral
6,quarters to seek the acquirement of wealth by dishonesty,and other unworthy means. As to the affections of the peo-,0.875,1.1111111111111112,0.8888888888888888,071157001,mistral
7,and other unworthy means. As to the affections of the peo:,"-ple, so striking and oppressive a preference given to the",0.8448275862068966,0.9090909090909091,0.7272727272727273,071157001,mistral
8,less numerous class over the more numerous will na:,less numerous class over the more numerous will na-,0.0196078431372549,0.1111111111111111,0.1111111111111111,071157001,mistral
9,real: for a man in responsible circumstances may probably,-turally be but ill relished by the latter.,0.7894736842105263,1.0,1.0,071157001,mistral
10,in point of fact suffer as much by being deprived of part,,1.0,1.0,1.0,071157001,mistral
11,"of his property, considering the share of reputation that","The difference, it is true, is rather apparent than",0.7192982456140351,1.0,1.0,071157001,mistral
12,"goes along with it, as a man in irresponsible circumstances",real: for a man in responsible circumstances may probably,0.559322033898305,0.8,0.6,071157001,mistral
13,:nishment: and if both were to undergo the same corporal,in point of fact suffer as much by being deprived of part,0.8035714285714286,1.2,1.2,071157001,mistral
14,"punishment, the punishment, that is the suffering, though","of his property, considering the share of reputation that",0.7543859649122807,1.125,0.875,071157001,mistral
15,":ter.] But this distinction , however real, is too subtle to be gene:","goes along with it, as a man in irresponsible circumstances",0.7681159420289855,1.0,1.0,071157001,mistral
16,"The difference, it is true, is rather apparent than",would be by being made to undergo a severe corporal pu-,0.8823529411764706,1.2222222222222223,1.2222222222222223,071157001,mistral
17,would be by being made to undergo a severe corporal pu:,-nishment: and if both were to undergo the same corporal,0.6,0.7272727272727273,0.7272727272727273,071157001,mistral
18,nominally [the same ] would in reality be much greater to the lat:,"punishment, the punishment, that is the suffering, though",0.7878787878787878,1.0,0.9230769230769231,071157001,mistral
19,:rally,nominally [the same] would in reality be [much greater to the lat-,10.333333333333334,12.0,12.0,071157001,mistral
20,":ple, so striking and oppressive a preference given to the","-ter.] But this distinction, however real, is too subtle to be gene-",0.9137931034482759,1.1,1.1,071157001,mistral
21,:turally be but ill relished by the latter.,-rally,0.8837209302325582,1.0,1.0,071157001,mistral
