line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,C,C.,1.0,1.0,1.0,071133003,openai
2,23.,,1.0,1.0,1.0,071133003,openai
3,Of Semi-public Offences in General.,Of Semi-public Offences in General.,0.0,0.0,0.0,071133003,openai
4,persons or destroys the property of particular individuals among the,,1.0,1.0,1.0,071133003,openai
5,Jews he may be not only punished criminally for the calumny,persons or destroys the property of particular individuals among the,0.8983050847457628,0.9090909090909091,0.9090909090909091,071133003,openai
6,"thrown on the Sect, but made civilly responsible for the particular",,1.0,1.0,1.0,071133003,openai
7,mischief done to the individual Jews whose persons or property,laws he may be not only punished criminally for the calumny,0.8225806451612904,1.1,1.0,071133003,openai
8,were thus attacked.,,1.0,1.0,1.0,071133003,openai
9,"As to any farther particulars relative to this head, they","thrown on the sheet, but made civilly responsible for the particular",0.8947368421052632,1.1,1.1,071133003,openai
10,of a local nature; and are without the limits of the present under=,,1.0,1.0,1.0,071133003,openai
11,:taking work.,mischief done to the individual Jews whose persons or property,4.230769230769231,5.0,5.0,071133003,openai
12,must depend upon the particular class in question. They are therefore,,1.0,1.0,1.0,071133003,openai
13,stand,were thus attacked.,3.0,3.0,3.0,071133003,openai
14,of men,,1.0,1.0,1.0,071133003,openai
