line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Famity Imposture.,Family Imposture.,0.058823529411764705,0.5,0.5,071112003,mistral
2,Of,Of,0.0,0.0,0.0,071112003,mistral
3,"husband. This probably will be weakened only, not destroy=","husband: this probability will be weakened only, not destroy'd.",0.13793103448275862,0.4444444444444444,0.4444444444444444,071112003,mistral
4,by the intervention of an Adulterer. It may indeed be perfect=,"ed, by the intervention of an Adulterer. It may indeed be perfect",0.08064516129032258,0.18181818181818182,0.18181818181818182,071112003,mistral
5,ly destroyed by facts which prove the immortality of a con=­,by destroy'd by facts which prove the impossibility of a con-,0.16666666666666666,0.36363636363636365,0.36363636363636365,071112003,mistral
6,:jugalReftrecourse with the husband; such as absence or in=,jugal intercourse with the husband; such as absence or in-,0.11864406779661017,0.3333333333333333,0.3333333333333333,071112003,mistral
7,disposition. But such facts are commonly notorious at the time;,disposition. But such facts are commonly notorious at the time;,0.0,0.0,0.0,071112003,mistral
8,in particular they must necessarily be known at the time to the,in particular they must necessarily be known at the time to the,0.0,0.0,0.0,071112003,mistral
9,"party most interested in the case, viz: the Husband: so that if","partly most interested in the case, viz: the Husband: so that if",0.015873015873015872,0.08333333333333333,0.08333333333333333,071112003,mistral
10,"they are not brought to light at the very time, they are never","they are not brought to light at the very time, they are never",0.0,0.0,0.0,071112003,mistral
11,brought to light at all. But the fact of a suppositio partus,brought to light at all. But the fact of a supposititious parties,0.1,0.16666666666666666,0.16666666666666666,071112003,mistral
12,may be brought to light at any distance of time by the treach=,may be brought to light at any distance of time by the torch.,0.06451612903225806,0.07692307692307693,0.07692307692307693,071112003,mistral
13,:ery or repentance of persons privy to the imposture. The,cry or repentance of persons liable to the impositure. The,0.15789473684210525,0.3,0.3,071112003,mistral
14,former case is therefore is attended with much less mis-,former case is therefore is attended with much less mis-,0.0,0.0,0.0,071112003,mistral
15,chief than the latter.,the chief than the latter.,0.18181818181818182,0.25,0.25,071112003,mistral
