line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,2.,,1.0,1.0,1.0,071_108_002,openai
2,Of Matrimonial Desertion.,,1.0,1.0,1.0,071_108_002,openai
3,It will be necessary to define what shall be deemed,,1.0,1.0,1.0,071_108_002,openai
4,"Desertion, distinguishing it from the case of lawful Absence;",,1.0,1.0,1.0,071_108_002,openai
5,and what steps shall be taken for giving notice.,,1.0,1.0,1.0,071_108_002,openai
6,Let certain methods be established whereby the Husband,,1.0,1.0,1.0,071_108_002,openai
7,and the Wife may be enabled and obliged to correspond with,,1.0,1.0,1.0,071_108_002,openai
8,one another at stated intervals: and let a failure on either part,,1.0,1.0,1.0,071_108_002,openai
9,for a certain time be deemed presumptive evidence of death or,,1.0,1.0,1.0,071_108_002,openai
10,desertion. Within the dominions of the state they  might be manag=,,1.0,1.0,1.0,071_108_002,openai
11,=ed in the manner mentioned in the Book of Procedure. Tit.,,1.0,1.0,1.0,071_108_002,openai
12,"As to foreigners, upon their coming into the country",,1.0,1.0,1.0,071_108_002,openai
13,let them be obliged to declare upon oath whether they are married,,1.0,1.0,1.0,071_108_002,openai
14,"or single; and if single whether Bachelors or Spinsters, Widowers",,1.0,1.0,1.0,071_108_002,openai
15,"or Widows. Of these declarations let Registers be kept, of which,",,1.0,1.0,1.0,071_108_002,openai
16,"previous to their being married, copies should be required to be",,1.0,1.0,1.0,071_108_002,openai
17,"produced. If married, certificates of the death of the Wife or",,1.0,1.0,1.0,071_108_002,openai
18,Husband. At present these important enquiries are left to the,,1.0,1.0,1.0,071_108_002,openai
19,uncertain prudence of individuals. The declarations above men=,,1.0,1.0,1.0,071_108_002,openai
20,:tioned should be accompanied with some details respecting their,,1.0,1.0,1.0,071_108_002,openai
21,in,,1.0,1.0,1.0,071_108_002,openai
22,"birth, parentage and last abode; such as may lead to detection",,1.0,1.0,1.0,071_108_002,openai
23,this,,1.0,1.0,1.0,071_108_002,openai
24,C,,1.0,1.0,1.0,071_108_002,openai
