line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of,Of,0.0,0.0,0.0,071002003,openai
2,Justifications.,Justifications.,0.0,0.0,0.0,071002003,openai
3,founders Law. 8. The Chymists Law &c. &c,Founder's Law. 8. The Chymists Law &c. &c.,0.075,0.25,0.25,071002003,openai
4,6. From Storms. See the Seafaring-man's Law Sect. Con=,6. From Storms. See the Seafaring-man's Law Sect. Con=,0.0,0.0,0.0,071002003,openai
5,:cerning Storms.,:cerning Storms.,0.0,0.0,0.0,071002003,openai
6,7. From the Plague and other infectious16eases. See Laws,7. From the Plague and other infectious diseases. See Laws,0.07142857142857142,0.2222222222222222,0.2222222222222222,071002003,openai
7,concerning the Plague &c.,concerning the Plague &c.,0.0,0.0,0.0,071002003,openai
8,8. From Persons insane: See Laws concerning persons,8. From Persons insane: See Laws concerning persons,0.0,0.0,0.0,071002003,openai
9,insane or 1. The Madmansalen. 2. The Ideot's Law. 2. The,insane or 1. The Madmansalem. 2. The Ideot's Law. 2. The,0.017857142857142856,0.09090909090909091,0.09090909090909091,071002003,openai
10,Maniac's Law,Maniac's Law,0.0,0.0,0.0,071002003,openai
11,Instructions to the Legislator.,Instructions to the Legislator.,0.0,0.0,0.0,071002003,openai
12,It is not clear that in every one of the several titles of,It is not clear that in every one of the several titles of,0.0,0.0,0.0,071002003,openai
13,Law above mentioned there will need a provision or set of,Law above mentioned there will need a provision or set of,0.0,0.0,0.0,071002003,openai
14,"provisions, authorising one person toenness upon the per",provisions authorising one person to trespass upon the per,0.125,0.375,0.375,071002003,openai
15,son of another. To determine that question with respect to,son of another. To determine that question with respect to,0.0,0.0,0.0,071002003,openai
16,any of them would be to enter upon a branch of Law fo:,any of them would be to enter upon a branch of Law fo:,0.0,0.0,0.0,071002003,openai
17,:reign to that in hand. Nor with respect to every one of,:reign to that in hand. Nor with respect to every one of,0.0,0.0,0.0,071002003,openai
18,these titles could such provisions be exhibited in terminis,these titles could such provisions be exhibited in terminis,0.0,0.0,0.0,071002003,openai
19,in any book of universal Law: since they will need to be,in any book of universal Law: since they will need to be,0.0,0.0,0.0,071002003,openai
20,different according to the various local circumstances of dif:,different according to the various local circumstances of dif:,0.0,0.0,0.0,071002003,openai
21,:ferent states and provinces. The above reference are exhi:,:ferent states and provinces. The above references are exhi:,0.01694915254237288,0.1111111111111111,0.1111111111111111,071002003,openai
22,":bited only in the way of example, to give a general idea","exhibited only in the way of example, to give a general idea",0.07017543859649122,0.08333333333333333,0.08333333333333333,071002003,openai
23,of the mode of reference to be adopted on an,of the mode of reference to be adopted on an,0.0,0.0,0.0,071002003,openai
24,occa=,occa=,0.0,0.0,0.0,071002003,openai
25,":sion, like the present.",":sion, like the present.",0.0,0.0,0.0,071002003,openai
26,"In like manner, neither is it clear that the names","In like manner, neither is it clear that the names",0.0,0.0,0.0,071002003,openai
27,7.,7.,0.0,0.0,0.0,071002003,openai
