line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbscheyn vnß da wir disen landen zū kamen,0.1111111111111111,0.4,0.4,7474188,transkribus
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an wasser / vnnd hetten,0.05660377358490566,0.2,0.2,7474188,transkribus
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben / vnd vff dem mere vnßer,0.019230769230769232,0.2,0.2,7474188,transkribus
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten / Im sie ere vnd gloria vnd danck gesagt /,0.08928571428571429,0.6,0.6,7474188,transkribus
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,0.1111111111111111,0.18181818181818182,0.18181818181818182,7474188,transkribus
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,staden vn des lands diser lantschafft gegen der Sonnen,0.1111111111111111,0.5555555555555556,0.5555555555555556,7474188,transkribus
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,"vffgang vn die ansehung solichs lands nyemer ze lassen,",0.10714285714285714,0.4444444444444444,0.4444444444444444,7474188,transkribus
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu stundan durch füren wir das / damit wir kamen,0.15384615384615385,0.7,0.7,7474188,transkribus
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.018518518518518517,0.1,0.1,7474188,transkribus
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am ersten das land traf,0.03636363636363636,0.16666666666666666,0.16666666666666666,7474188,transkribus
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen biß zu disem winckel waren by dryhundert welscher,0.05555555555555555,0.3333333333333333,0.3333333333333333,7474188,transkribus
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male / vnd in zyt dißer schiffung sind wir zu dickern malen,0.13559322033898305,0.6363636363636364,0.6363636363636364,7474188,transkribus
