line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,über vnd on das in yeglichen oren die mit dryen loͤchern,über vnd on das in yeglichen oren die mit dryen loͤchern,über vnd on das in yeglichen oren die mit dryen loͤchern,0.0,0.0,0.0
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,Durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch stochen synd sy noch ander steyn tragen die in rin,0.017857142857142856,0.09090909090909091,0.09090909090909091
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,gen hangen vn diß wise vnd sytten ist allein der mannē,gen hangen vn diß wise vnd sytten ist allein der mannen ,0.08928571428571429,0.45454545454545453,0.45454545454545453
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Sen die frowen zerstechen innen selbs ir antlitz nit also,Sen die frowen zerstechen innen selbs ir antlitz nit also,0.08620689655172414,0.4,0.4
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit löcherung den alleyn die oren / Eyn ander ſyt vnd,mit löcherung den alleyn die oren / Eyn ander syt vnd,0.05660377358490566,0.3,0.3
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyse ist ouch vnder vnd by ienen gnuͤg abwysig vn̄ wi¬,wyse ist ouch vnder vnd by ienen gnuͤg abwysig vn̄ wi¬,0.07407407407407407,0.36363636363636365,0.36363636363636365
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menschliche glaubung  Das ir frowen die eben,0.0,0.0,0.0
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,gelustig vnd geilgirig synd/ vnd ieren mannen machen,gelustig vnd geilgirig synd / vnd ieren mannen machen,0.038461538461538464,0.25,0.25
9,das ienen ir büch geſchwellen in ſollicher über meſtung,Das ienen ir Büch geschwellen in ſollicher über meſtung,das ienen ir Büch geschwellen in sollicher über mestung,0.05454545454545454,0.3333333333333333,0.3333333333333333
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das sy/vngeſtalt vn ſmechlich erſthynen vnd ꝺz tuͤnd ſy,das sy vngestalt vn smechlich ersthynen vnd ꝺz tuͤnd sy,0.08771929824561403,0.5,0.5
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ettwas funden vn gnagung ettlicher gifftigen thiere/,mit ettwas funden vn gnagung ettlicher gifftigen thiere /,0.08928571428571429,0.375,0.375
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von solicher sach geschicht das ierer vil ir gemecht,0.017857142857142856,0.1,0.1
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren die ienen von mangels wegen der artznye ſulen,verlieren die ienen von mangels wegen der artznye fulen,0.05555555555555555,0.1111111111111111,0.1111111111111111
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vnd Bliben on gemech/ Si haben keyn tuͤch noch teckine,vnd Bliben on gemech/ Si haben keyn tuͤch noch teckinem,0.05555555555555555,0.3,0.3
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,weder lynis noch Baumwollins/ Denn ſy des nit bedörf,weder lynis noch Baumwollins  Denn sy des nit bedörf,0.05660377358490566,0.2222222222222222,0.2222222222222222
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vnd haben keyn eygen guͤt/ Sunder alle ding sind in¬,fen vnd haben keyn eygen guͤt / Sunder alle ding sind in¬,0.05454545454545454,0.2727272727272727,0.2727272727272727
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein. Si leben samenhafft on künig on gebieter vn̄,nen gemein. Si leben samenhafft on kiinig on gebieter vn̄,0.07272727272727272,0.3,0.3
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,iſt ir yeglicher im ſelbſt herr/ So vil wißer nemen ſy ſo,ist ir yeglicher im selbst herr  So vil wißer nemen sy so,0.05357142857142857,0.16666666666666666,0.16666666666666666
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil ſy woͤllen/ vnd ô ſun mit der muͤter vn̄ der bruͤder mit,vil sy woͤllen/ vnd ô sun mit der muͤter vn̄ der bruͤder mit,0.06557377049180328,0.23076923076923078,0.23076923076923078
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der ſchweſter vnd der erſt mit der erſten vnd der begeg=,der schwester vnd der erst mit der ersten vnd degeg¬,0.017857142857142856,0.09090909090909091,0.09090909090909091
