line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,ſy nie me wüſſen den̄ von den ſtetten vnd landen die ſye,ſy nit me wüſſen den von den ſtetten vnd landen die ſye,sy nit me wüssen den von den stetten vnd landen die sye,0.03571428571428571,0.16666666666666666,0.16666666666666666
2,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vns,offt vn dick bygeschiffet vn erfaren hatten/Und als vns,offt vn dick bygeschiffet vn erfaren hatten. Und als vns,0.06896551724137931,0.5,0.5
3,an dem ende der egemelt wynckel eyn krūme erzoͤigt des,an dem ende der egemelt wynckel eyn krůme erzoͤigt des,an dem ende der egemelt wynckel eyn krůme erzoͤigt des,0.018518518518518517,0.1,0.1
4,landſtaden gegen mittag wurden wür eyns ſolichs für¬,landſtaden gegen mittag wurden wir eyns ſolichs für¬,landstaden gegen mittag wurden wir eyns solichs für¬,0.019230769230769232,0.125,0.125
5,faren vnd ze erkunden was in den ſelben groſſen landen,faren vnd ze erkunden was in den selben grossen landen,faren vnd ze erkunden was in den selben grossen landen,0.05555555555555555,0.2,0.2
6,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,were/ Und schifften also nach dem staden by Sechshun,were  Und schifften also nach dem staden by Sechshun,0.07692307692307693,0.4444444444444444,0.4444444444444444
7,dert mylen wegs vnd zuͦm dickern̄ mal/ kamen wür vnd,dert mylen wegs vnd zuͤm dickern mal/ kamen wijr vnd,dert mylen wegs vnd zuͤm dickern mal/ kamen wijr vnd,0.07692307692307693,0.3,0.3
8,giengen zelande beſprachtē vnd beredten wir vn̄ bewon,giengen zelande besprachten vnd beredten wir vn̄ bewon,giengen zelande besprachten vnd beredten wir vn bewon,0.05660377358490566,0.125,0.125
9,ten mit den inwonern̄ vnd lantſlüten der ſelben regionē,ten mit den inwonern vnd lantſluten der ſelben regionen,ten mit den inwonern vnd lantsluten der selben regionen,0.07272727272727272,0.3333333333333333,0.3333333333333333
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangē,vnd wurden guͤtlich vnd bruͤderlich von inen empfaͤngē,vnd wurden guͤtlich vnd bruͤderlich von inen empfangen,0.018867924528301886,0.125,0.125
11,vnd blyben etwan dick fünffzehen oder zweintzig tag by,vnd blyben etwan dick funffzehen oder zweintzig tag by,vnd blyben etwan dick funffzehen oder zweintzig tag by,0.018518518518518517,0.1111111111111111,0.1111111111111111
12,ienen ſtets vn̄ früntlich als liebe geſte mit ynen redende,ienen stets vn̄ frümlich als liebe geste mit ynen redende,ienen stets vn̄ fruntlich als liebe geste mit ynen redende,0.06896551724137931,0.3,0.3
13,als du harnach vermercken würſt/ ye doch ſo iſt diſer be,als du harnach vermercken würſt/ye doch ſo iſt diſer ſe,als du harnach vermercken würst/ ye doch so ist diser be,0.03571428571428571,0.2727272727272727,0.2727272727272727
