line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cht bringen am kosten vnnd gesmackt lieplich vnd luͤstli¬,,1.0,1.0,1.0,7474194,openai
2,"ich vnd den menschlichen liben nutzlich vn komlich, Sa",,1.0,1.0,1.0,7474194,openai
3,gegen ouch sind etlich anders wesens vnnd keyn fruchtt,,1.0,1.0,1.0,7474194,openai
4,synd vnseran früchten vnd opß gleich / Sa wachßen on¬,,1.0,1.0,1.0,7474194,openai
5,ich über alle zal vil vnd mengerley krüter gestalten vnd,,1.0,1.0,1.0,7474194,openai
6,wurtzen vß denen sy brot machen / vnd die allerbesten ge,,1.0,1.0,1.0,7474194,openai
7,muͤse haben sy vnnd vil samen disen vnsern samen gantz,,1.0,1.0,1.0,7474194,openai
8,"vnglich, Sa sind onch keynerley metallen vnd geschmid",,1.0,1.0,1.0,7474194,openai
9,den allein gold da von diß region vn land überfliessen wie,,1.0,1.0,1.0,7474194,openai
10,wol wir des nützit mit vnß namen / In dißer ersten vnser,,1.0,1.0,1.0,7474194,openai
11,"schiffart, End das sagen vnß die inwonere vnd sprachen",,1.0,1.0,1.0,7474194,openai
12,das in der mittlisten gegne dises lands große volle sie des,,1.0,1.0,1.0,7474194,openai
13,goldes vnd von ienen verachtet vnnd fur nicht geschetzt,,1.0,1.0,1.0,7474194,openai
14,"werde, Spe überflüssig von edelem gesteyn, Warga¬",,1.0,1.0,1.0,7474194,openai
15,"eiten, Als ich dyr vor me geschryben hab, Wenn ich",,1.0,1.0,1.0,7474194,openai
16,wolt alle vnnd yegliche ding erzellen dye de synd vnd,,1.0,1.0,1.0,7474194,openai
17,von den on zall mengerley thieren geschlecht vnnd der,,1.0,1.0,1.0,7474194,openai
18,selben vile / Das were eyn ding gar zelang vnd on maß,,1.0,1.0,1.0,7474194,openai
19,Vnd siechtliche glaub ich das vnßer plimus dem tusent¬,,1.0,1.0,1.0,7474194,openai
20,teyl nit zuͤkomen sye/ Ses volcks der Sitkusten vnd der,,1.0,1.0,1.0,7474194,openai
21,andern voͤgelen vnnd der thyeren die in den selben lan¬,,1.0,1.0,1.0,7474194,openai
22,den synd mit so mengerley vnderscheydt der antlitten.,,1.0,1.0,1.0,7474194,openai
23,vnd frouwen das der volkomnesten lyt Waler kunst ver,,1.0,1.0,1.0,7474194,openai
24,rumpt Meister Pollicletus die abzemalen erlygen müste,,1.0,1.0,1.0,7474194,openai
25,Sa synd alle boum gútds vnnd wolgeschmackes vnd,,1.0,1.0,1.0,7474194,openai
26,bryngen alle ettwas oͤls oder solicher fuchtigkeyt / Wenn,,1.0,1.0,1.0,7474194,openai
27,ir krafft vnnd eygenschafft vnnß bekant were zwifelen,,1.0,1.0,1.0,7474194,openai
28,ich nit den das sye der menschen lyben zu artzenye gros,,1.0,1.0,1.0,7474194,openai
29,"ser heylung syn solten, vnnd onzwyselhalt ich ob der",,1.0,1.0,1.0,7474194,openai
30,Jrdysch Paradyß vff ertrich das der nitt ferr vonn,,1.0,1.0,1.0,7474194,openai
31,"dyßer lantschaffte sye, So ir gelegenheyt als ich vor",,1.0,1.0,1.0,7474194,openai
