line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cher verdersung schiffbruchen was liplicher vnfuͤren wyr,cher verderbung ſchiffbruchē waſ liplicher vnſüre wyr,0.16071428571428573,0.5714285714285714,0.5714285714285714,7474187,openai
2,gelitten haben / End mit was angsten vnsers gemuͤtes wir,gelirten habē / Vnd mir was angſte vnſers gemütes wir,0.17857142857142858,0.7,0.7,7474187,openai
3,gearbeit habę/ mein ich / gib ich denen ze bedencken die vß,gearbeit habé/ mein ich/ gib ich denen ze bedencké die vß,0.06779661016949153,0.3333333333333333,0.3333333333333333,7474187,openai
4,vil dingen erfarumg wol wissen / wasda sie vngewisse ding,vil dingen erfariͤg wol wiſſen/waſ da ſie yngewiſſe ding,0.21052631578947367,0.6,0.6,7474187,openai
5,"suchen vnnd nit wissen ob die sien zu erfaren, Und das",ſichen/vnnd nit wiſſen ob die ſten zů erſaren/ Vnd das,0.2037037037037037,0.6363636363636364,0.6363636363636364,7474187,openai
6,"ich mit eynem wort alle ding begriffe, solt du wissendas",ich mit eynem wort alle ding begriffe/ ſolt du wiſſendas,0.07142857142857142,0.3,0.3,7474187,openai
7,in Sechtzig tagen vnnd siben tagen die wir schiffeten,in Sechzig tagen vnnd ſiben tagen die wir ſchiffeten,0.05660377358490566,0.3333333333333333,0.3333333333333333,7474187,openai
8,vier vnd viertzig tag on vnderlaß an einander gehept ha,vier vnd vierzig tag on vnderlaß an einander gehept ha,0.01818181818181818,0.1,0.1,7474187,openai
9,ben mit regen tonnern vnd Elitzgen so gar finster dz wir,ben mit regen tonnern vnd blitzen ſo gar finſter dz wir,0.07142857142857142,0.2727272727272727,0.2727272727272727,7474187,openai
10,weder Sonnen im tag noch liechten hymel in der nacht nie,weder ſonneͤ im tag noch liechtͤ hymel in der nacht nie,0.07142857142857142,0.18181818181818182,0.18181818181818182,7474187,openai
11,gesehen haben. Da von so geschach dz vns solicher gros¬,geſehen haben/ Da von ſo geſchach dz vns ſolicher groſſ,0.12727272727272726,0.6,0.6,7474187,openai
12,ser schrecken infiel dz wir gar nach alle hoffnung vnsers,ferſchrecken infiel dz wir gar nach alle hoffnung vnſers,0.07017543859649122,0.3,0.3,7474187,openai
13,"lebens hinwurffen, In sölichen angsten dennoch vn so",lebens hinwurffen/ In ſolchen angſten dennoch vn ſo,0.11538461538461539,0.5,0.5,7474187,openai
14,wuetungen des mers vnnd des hymels gefiel dem hoch,wüͤrckungen des mers vnnd des hymels gefiel dem hoch,0.1,0.1111111111111111,0.1111111111111111,7474187,openai
15,sten gott vns zezoigen ingewont ertrich vnnd niiw lant,ſten gott vnſ zeͤoigen ingemont erttrich vnnd niͤw lan,0.12962962962962962,0.7777777777777778,0.7777777777777778,7474187,openai
16,"schafften vnd ein vnbekante welt, Das wir nach der sel¬",ſchafften vnd ein vnbekante welt/Das wir nach der ſel,0.09090909090909091,0.4,0.4,7474187,openai
17,ben bsehung mit so grossen freiden durchgossen synd als,ben bſehung mit ſo groſſen freiden durchgoſſen ſynd alſ,0.14545454545454545,0.6666666666666666,0.6666666666666666,7474187,openai
