line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,Leit gottes vmbſcheyn vnß da mit diſer landenſiſt fame,keit gottes vmbscheyn vnß da wir disen landen zū kamen,0.18518518518518517,0.6,0.6
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,Sē vns was abgegangen an holtz an waſſer vnnd herren,den̄ vns was abgangen an holtz an wasser / vnnd hetten,0.16981132075471697,0.4,0.4
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag mögen blüen/vnd ist dem mere vnßer,noch wenig tag moͤgen bliben / vnd vff dem mere vnßer,0.15384615384615385,0.4,0.4
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten/ Jm ſie ere vnd gloria vnd dancket geſagt/,leben enthalten / Im sie ere vnd gloria vnd danck gesagt /,0.07142857142857142,0.3,0.3
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden das gerate vñ ſure nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,0.2037037037037037,0.45454545454545453,0.45454545454545453
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,ſtaden vñ des lands diſer lantſchafft gege der Sonnen,staden vn des lands diser lantschafft gegen der Sonnen,0.05555555555555555,0.2222222222222222,0.2222222222222222
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,vffgang vñ die anfehung folichs lands nyemer zelaſſen,vffgang vn die ansehung solichs lands nyemer ze lassen ,0.10714285714285714,0.5555555555555556,0.5555555555555556
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu ſundan durchſteuer wir das/damit wir ſame,End zu stundan durch füren wir das / damit wir kamen,0.23076923076923078,0.8,0.8
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,ʒu einem rinttel/ Da das land eyn ſtꝛcke machtet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.2222222222222222,0.5,0.5
10,mittag vnd von der ſtatt da wir am erſten das land traf,mirtag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am ersten das land traf,0.01818181818181818,0.08333333333333333,0.08333333333333333
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen Biß zu diſem vinctel waren by dreyhundert welcher,fen biß zu disem winckel waren by dryhundert welscher,0.1111111111111111,0.5555555555555556,0.5555555555555556
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,mile/vnd in yrt diſer ſchiffung ſind wir zů ſidtern male,male / vnd in zyt dißer schiffung sind wir zu dickern malen,0.1864406779661017,0.6363636363636364,0.6363636363636364
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,ʒů landt geſcharen vnd haben ſeuntlich geſprech vnnd man,zu land gefaren vnd haben fruntlich gesprech vnnd wan,0.2037037037037037,0.5555555555555556,0.5555555555555556
14,del mit dem ſelben volck gehept als du hienach vernemen,Sel mir dem ſelben wolt gehelpe als du hienach vernemen,del mit dem selben volck gehept als du hienach vernemen,0.12727272727272726,0.4,0.4
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,mirtſel/Oir was vergeſſen dir zu ſchiben das von dem,wirdest  Mir was vergessen dir ze schriben das von dem,0.16666666666666666,0.4,0.4
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des gruͤne bouprs biß zů anfang dißer Benoͤ,hochgebirg des grüne houpts biß zu anfang diser bewon¬,0.2037037037037037,0.5555555555555556,0.5555555555555556
17,den landtſchafft ſind by Sibenhundert welſcher milen,ten landſchafft ſindt By Sibenhundert welcher múlen,den landtschafft sind by Sibenhundert welscher milen,0.11538461538461539,0.8571428571428571,0.8571428571428571
