line_number,ground_truth,prediction,cer,wer
1,über vnd on das in yeglichen oren die mit dryen loͤchern,über vnd on das in yeglichen oren die mit dryen löchern,0.03571428571428571,0.09090909090909091
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,Durch stochen synd sy noch ander steyn tragen die in rin,0.08928571428571429,0.45454545454545453
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,gen hangen von diß wise vnd sytt̄en ist alleín der mannē,0.14285714285714285,0.5454545454545454
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Den die frowen zerstechen innen selbs ir antlitz nit also,0.06896551724137931,0.4
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit löcherung den alleyn die oͤren. Eyn ander syt vnd,0.09433962264150944,0.3
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyke ist ouch vnder vnd by ienen gnuͤg abwysig vn̄ wi¬,0.07407407407407407,0.36363636363636365
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menschliche glaubung/Das ir frowen die eben,0.03773584905660377,0.3333333333333333
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,gelustig vnd geilgirig synd / vnd ieren mannen machen,0.057692307692307696,0.375
9,das ienen ir büch geſchwellen in ſollicher über meſtung,das ienen ir Büch geschwellen in sollicher über mestung,0.07272727272727272,0.4444444444444444
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das sy/ngestalt vn s̄mechlich ersthynen vnd dͤ tuͤnd s̄y,0.21052631578947367,0.8
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ettwas fundē vn gnagung ettlicher gifftigen thierē,0.05357142857142857,0.375
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von solicher sach geschicht das ierer vil ꝛ gemecht,0.10714285714285714,0.5
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren die ienen von mangels wegen der artzneye fulen,0.05555555555555555,0.2222222222222222
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vnd Bliben on gemech / Si haben keyn tuͤch noch tectine,0.09259259259259259,0.5
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,weder lynic noch Baumwollins / Denn sy des nit bedörf,0.11320754716981132,0.5555555555555556
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vnd haben keyn eygen guͤt / Sunder alle ding sind in,0.05454545454545454,0.2727272727272727
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein / Si lebe samenhafft on künig on gebieter vn̄,0.05454545454545454,0.4
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,ist ir yeſ̄licher im ſelbs herr / So vil wiſſer nemen ſy ſo,0.10714285714285714,0.4166666666666667
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil sy woͤllen/ vnd ſun mit der muͤter vn̄ der bruͤder mit,0.09836065573770492,0.3076923076923077
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der schwest̄er vnd der erst mit der erst̄en vnd der begega,0.125,0.36363636363636365
21,ner mit der begegneten veruneynigen ſich/ Als dick als,ner mit der ¬Begegneten veruneynigen sich/ Als dick als,0.05555555555555555,0.2222222222222222
22,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,sy woͤllen scheiden sy die vermehletic ee/ vnd halten in so,0.0847457627118644,0.45454545454545453
23,lichem gantz keyn ordnung/ Darumb habē ſy keynen tē¬,lichen q̃antz keyn ordnung / Darumb hab̄sy keynen tē,0.15384615384615385,0.7777777777777778
24,pel vnd halten keyn geſatzt vnd ſind nit abgetere/ Was,vel vnd halten keyn gesatz vnd sind nit abgetere / Was,0.09259259259259259,0.5
25,ſol ich me ſagē Sy leben nach der natur das ſy wol epi¬,solich me sage Sy leben nach der natur das sy wol epi¬,0.09090909090909091,0.3076923076923077
26,curi/ buchfüller genāt werden moͤgen den̄ ſenici/ By inē,curi /Buchfüller genant werden mögen den senici /By in,0.21428571428571427,0.8888888888888888
27,ſind keyn koufflit noch kouffguͦt/ Die ſcharē des volcks,sind keyn kouſſlit noch kouſſgit / Die ſchar des volcks,0.16071428571428573,0.5555555555555556
28,haben ouch kriege/ vnd on kunſt on ordnung/ Ir elteren̄,haben ouch kriege/ vnd on kunſt on ordnung/ Ir elteren,0.01818181818181818,0.1
29,mit yren reten̄ vnnd gebotten vnder byegen die iungen,mit yren reſen vnnd gebotten vnder byegen die iungen,0.03773584905660377,0.1111111111111111
30,zuͦ thuͦn was ſy woͤllen vnd rüſten ſie zuͦ ſtryttē in ſolichē,zu thun was sy wöllen vnd rüsten sie zu stryte in soliche,0.20967741935483872,0.75
31,Sy eynandern̄ gruſelich ze tod ſlaen vn̄ welche ſye alſo,Sy eyſna dern grus̄selich ze tod slaen vn welche ſye also,0.16071428571428573,0.6
32,im krieg vnd ſtritt fahen die fuͦren ſy hyn mit das ſye die,im krieg vnd strīte fāhen dīe füͤren sy hyn mit das sye die,0.15254237288135594,0.46153846153846156
33,by leben ſunder inen ſelbs behalten das ſy da von metzi¬,By leven sünder inen selbs behalten das sy da von meſſe,0.17857142857142858,0.5454545454545454
