line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,cht bringen am koſten vnnd geſmackt lieplich vnd luͦſtli¬,chte Bringen am Eosten vnnd gesmackt lieplich vnd lüßlich,cht bringen am kosten vnnd gesmackt lieplich vnd luͤstli¬,0.19298245614035087,0.5555555555555556,0.5555555555555556
2,ch vnd den menſchlichen liben nützlich vn̄ komlich/ Da,ch vnd den menschlichen liben nützlich von eomlich/ Da,ich vnd den menschlichen liben nutzlich vn komlich  Sa,0.07407407407407407,0.3333333333333333,0.3333333333333333
3,gegen ouch ſind etlich anders weſens vnnd keyn fruchtt,gegen oūch sind etlich anders wesens vn̄d keyn fruchte,gegen ouch sind etlich anders wesens vnnd keyn fruchtt,0.09259259259259259,0.5555555555555556,0.5555555555555556
4,ſynd vnſeran früchten vnd opß gleich/ Da wachßen ou¬,vnd vnseran fruͤchten vnd opꝛs glich / Sa wachſen owch,synd vnseran früchten vnd opß gleich / Sa wachßen on¬,0.2692307692307692,1.0,1.0
5,ch über alle zal vil vnd mengerley krüter geſtalten vnd,ch über allezal vil vnd mengerley früeter gestalten vnd,ich über alle zal vil vnd mengerley krüter gestalten vnd,0.07272727272727272,0.4,0.4
6,wurtzen vß denen ſy brot machen/ vnd die aller beſten ge,wurzen vß denen sy Brot machen / vnd die aller besten ge,wurtzen vß denen sy brot machen / vnd die allerbesten ge,0.08928571428571429,0.5454545454545454,0.5454545454545454
7,muͤſe haben ſy vnnd vil ſamen diſen vnſern ſamen gantz,muͤse haben sy v̄nid vil samen disen v̄sern samen gang,muͤse haben sy vnnd vil samen disen vnsern samen gantz,0.2037037037037037,0.8,0.8
8,vnglich/ Da ſind ouch keynerley metallen vnd geſchmid,Da sind oūch keynerley metallen vnd geschmid,vnglich  Sa sind onch keynerley metallen vnd geschmid,0.22641509433962265,0.5,0.5
9,den̄ allein gold da vō diß region vn̄ land überflieſſen wie,den allein gold da vō diß regton vn̄ land uͤberflieſſen wie,den allein gold da von diß region vn land überfliessen wie,0.06779661016949153,0.36363636363636365,0.36363636363636365
10,wol wir des nützit mit vnß namen/ In dißer erſten vnſer,wol wir des nůgit mit vnſ namen / In diſer ersten vnſer,wol wir des nützit mit vnß namen / In dißer ersten vnser,0.12727272727272726,0.5454545454545454,0.5454545454545454
11,ſchiffart/ Und das ſagen vnß die inwonere vnd ſprachē,schiffart / Vnd das sagen vnk die inwonere vnd sprache,schiffart  End das sagen vnß die inwonere vnd sprachen,0.1320754716981132,0.6666666666666666,0.6666666666666666
12,das in der mittliſten gegne diſes lands große volle ſie deſ,das in der mittlifften gegen dises lands groſſe volle ſte des,das in der mittlisten gegne dises lands große volle sie des,0.15254237288135594,0.5454545454545454,0.5454545454545454
13,goldes vnd von ienen verachtet vnnd für nicht geſchetzt,goldes vnd von ienen verachtet vnd für nicht geschēst,goldes vnd von ienen verachtet vnnd fur nicht geschetzt,0.09090909090909091,0.2222222222222222,0.2222222222222222
14,werde/ Sye überflüſſig von edelem geſteyn/ Marga¬,Sye überflüßig von edelem gesteyn/,werde  Spe überflüssig von edelem gesteyn  Warga¬,0.3469387755102041,0.5714285714285714,0.5714285714285714
15,eiten/ Als ich dyr vor me geſchryben hab/ Wenn ich,Als ich dyr vor me geschryben hab. Wenn ich,eiten  Als ich dyr vor me geschryben hab  Wenn ich,0.18,0.3,0.3
16,wolt alle vnnd yegliche ding erzellen dye da ſynd vnd,wolt alle vnd yegliche ding erzellen dye dā synd vnd,wolt alle vnnd yegliche ding erzellen dye de synd vnd,0.05660377358490566,0.3,0.3
17,von den on zall mengerley thieren geſchlecht vnnd der,von den on zall mengerley thieren geschlecht vnnd der,von den on zall mengerley thieren geschlecht vnnd der,0.018867924528301886,0.1111111111111111,0.1111111111111111
18,ſelben vile/ Das were eyn ding gar zelang vnd on maß,Das were eyn ding gar zclang vnd on mass,selben vile / Das were eyn ding gar zelang vnd on maß,0.3076923076923077,0.36363636363636365,0.36363636363636365
19,Und ſlechtliche glaub ich das vnßer plimus dem tuſent¬,Vnd flechtliche glaub ich das vnser plimus dem tusem,Vnd siechtliche glaub ich das vnßer plimus dem tusent¬,0.12962962962962962,0.4444444444444444,0.4444444444444444
20,teyl nit zuͦkomen ſye/ Des volcks der Sitkuſten vnd der,teyl mit zůtomen sye / Des volcks der Sirtvsten vnd der,teyl nit zuͤkomen sye/ Ses volcks der Sitkusten vnd der,0.18181818181818182,0.5,0.5
