line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,Leit gottes vmbscheyn vns da wir disen landen zi kam,0.12962962962962962,0.6,0.6,7474188,mistral
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den vns was abgangen an holtz an wasser/vnd betten,0.11320754716981132,0.4,0.4,7474188,mistral
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tagmōgen Bliben/vnd vff dem mere vnser,0.11538461538461539,0.5,0.5,7474188,mistral
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten / Im sicre vnd gloria vnd danckt gesagt,0.16071428571428573,0.7,0.6,7474188,mistral
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate dz wir fiͤr nach dem begriff des,0.05555555555555555,0.09090909090909091,0.09090909090909091,7474188,mistral
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,Staden vit des lands diser lantschafft gege der Sonnen,0.1111111111111111,0.5555555555555556,0.5555555555555556,7474188,mistral
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,wolffgang von die anschung solichs lands nyemer ze lassen,0.19642857142857142,0.5555555555555556,0.5555555555555556,7474188,mistral
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,Vnd zū stvndan durch fīren wir das/damit wir kaͤme,0.19230769230769232,0.7,0.7,7474188,mistral
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zuͤ emēn winctel/da das land eyn intere machet gegen,0.14814814814814814,0.5,0.5,7474188,mistral
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am erſten das land tra,0.03636363636363636,0.16666666666666666,0.16666666666666666,7474188,mistral
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen Biss zů disem winckel waren by Dryhundert welscher,0.14814814814814814,0.5555555555555556,0.5555555555555556,7474188,mistral
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,mile/vnd in zyt dißer schiffung sind wir zů dickern male,0.11864406779661017,0.6363636363636364,0.6363636363636364,7474188,mistral
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,zuͤ land gefaren vnd haben fruntlich gesprech vnnd wan,0.05555555555555555,0.3333333333333333,0.3333333333333333,7474188,mistral
14,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem selben volcz gehept als du hie nach vernemen,0.05454545454545454,0.4,0.4,7474188,mistral
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,wirdest/Wir was vergessen dir ze schriben das von dem,0.1111111111111111,0.4,0.4,7474188,mistral
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des grüne houpts biß zů anfang diser bewȫr,0.1111111111111111,0.4444444444444444,0.4444444444444444,7474188,mistral
17,den landtſchafft ſind by Sibenhundert welſcher milen,en landtschafft sind by Sibenhundert welscher milen,0.07692307692307693,0.5714285714285714,0.5714285714285714,7474188,mistral
18,Wie wol ich meyn das wir me den̄ Tuſent vn̄ achthun¬,Wie wol ich meyn das wir meͤden Tͦusent vn̄ achthund̄,0.11538461538461539,0.36363636363636365,0.36363636363636365,7474188,mistral
19,dert mile gefaren ſo von vnwiſſenheyt d̓ ſtetten vn̄ ſchiff¬,dert mile gefaren so von vnwissenheyt ¶ stecten vn schiff,0.16666666666666666,0.6,0.6,7474188,mistral
20,meiſters ſo von vngewitter vnd von winden verhindert,meisters so von vngewitter vnd von winden verhinder,0.057692307692307696,0.375,0.375,7474188,mistral
21,die vnßern ſchlechten weg widertriben zuͦ ſtetten vnd vil,die vnſern schlechten weg widertriben zů ſetten vnd vil,0.08771929824561403,0.4444444444444444,0.4444444444444444,7474188,mistral
22,abwendungen/ Den̄ wen min geſellen ir gemüt vnd ver.,abwendungen/ Den weſſ min gesellen ir gemüt vnd ver,0.09615384615384616,0.4444444444444444,0.4444444444444444,7474188,mistral
23,truwen nit zuͦ mir geſetzt hetten/ ſo mir bekantlich was d̓,truwen nit zū mir geseſt hetten / ſo mir bekaͤntlich was d̄,0.13559322033898305,0.5454545454545454,0.5454545454545454,7474188,mistral
24,groſſen welt lantſterlugūg vnd gelegenheit ſo weis kein,grossen welt kuntsterlugg vnd gelegenheit so weis tem,0.18181818181818182,0.5,0.5,7474188,mistral
25,ſchiffman oder wegwiſer vnßer fart der ioch by fünffhū,schiffman oder wegwiser vnser fart der ioch by füͤnffz̄,0.1111111111111111,0.4444444444444444,0.4444444444444444,7474188,mistral
26,dert milen wußte wō wir waren/ Denn wir waren vmb¬,dert milen wuste wo wir waren/ Denn wir waren vnbe,0.08,0.3,0.3,7474188,mistral
27,ſchweiffig vnd irrig/ Den̄ allein der himelſchen zeichen,Schweissig vnd irrig/ Den allein der himelschen zeichen,0.08928571428571429,0.375,0.375,7474188,mistral
28,hohe waren vns zuͦbewiſung vnd zoͤugten vns warheyt,hohe waren vns zůbwisung vnd zōughten vns warheyt,0.13725490196078433,0.25,0.25,7474188,mistral
29,verlorner dingen vnd die ſelben waren vns der quadrāt,verlorner dingen vnd die selben waren vns der quadrat,0.03773584905660377,0.2222222222222222,0.2222222222222222,7474188,mistral
30,vnd das Aſtralabium als ſy alle erkantē/ Hie von ſi alle,vnd das Astralabium als sy alle ertﬂan̄te / Die von si alle,0.16071428571428573,0.5454545454545454,0.5454545454545454,7474188,mistral
31,mich in groſſen eren hielten/ Denn ich zoigt inen das on,mich in grossen eren hielten / Denn ich zoigt inen das on,0.05357142857142857,0.2727272727272727,0.2727272727272727,7474188,mistral
32,die verſchreibnen meres karten kunſt der ſchiffung ich be,die verschreibnen meres karren Eunst der schifft. yg ich be,0.15789473684210525,0.5555555555555556,0.5555555555555556,7474188,mistral
33,richter was dan̄ alle Schiffherren der gantzen welt den̄,richter was dān alle Schiffherren der gantzen welt den,0.05357142857142857,0.2222222222222222,0.2222222222222222,7474188,mistral
34,A iii,¬ iii,0.2,0.5,0.5,7474188,mistral
