line_number,ground_truth,prediction,cer,wer
1,It glucklicher fart Am vier,It glucklicher fart ſlm vber,0.1111111111111111,0.4
2,zehenden tag des monats Mayen/ Tu¬,zehenden tag des monats Mayen / Lu¬,0.058823529411764705,0.5
3,ſent fünffhūdert eyn Iars/ ſchieden wir,sent fünffhüdert eyn Jars/ schieden wir,0.10256410256410256,0.6666666666666666
4,von Oliſpppo nach gebott des obgenan¬,von Olisippo nach gebott des obgenan̄,0.08108108108108109,0.3333333333333333
5,ten künigs mit dryen ſchiffen zuͦ erſuͦchē,ten künigs mit dryen schiffen zu ersüchen,0.16666666666666666,0.42857142857142855
6,nuwe land gegen Auſter/ vnd tzweintzig,Unuwe land gegen Auster / vnd tzweintzig,0.07894736842105263,0.5
7,Monet on vnderlaß fuͦren wir gegen mittag der ſelben,Monet on vnderlaß füren wir gegen mittag der selben,0.057692307692307696,0.2222222222222222
8,ſchiffung. vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,schiffung vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,0.03508771929824561,0.1
9,fung iſt geweſen durch die fortunaten Inſalen/ vor ziten,fung ist gewesen durch die fortunaten Insalen/ vor ziten,0.05357142857142857,0.3333333333333333
10,alſo genant/ Aber zuͦ dyſen werden ſy genant die inſulen,also genant/ Aber zu dysen werden sy genant die insulen,0.08928571428571429,0.5
11,magne canarie/ der groſſen Canarie/ die da ſindt im drit,magne canarie / der grossen Canarie / die da sindt im drit,0.08928571428571429,0.6
12,ten Clima der ſibenfaltigē vßteilung der welt vnd am an,ten Clima der sibenfaltige vßteilung der welt vnd am an,0.03636363636363636,0.1
13,ſtoß vnd gegē der wonhafftigē landen der ſonnē nyder¬,stoß vnd gegen der wonhafftige landen der sonne nyder,0.1320754716981132,0.5555555555555556
14,gangs/ Dannen durch das groß mer Occeanū dē gātzē,gangs/ Sannen durch das groß mer Occeanum de gāze,0.12244897959183673,0.4444444444444444
15,ſtaden affricum vn̄ eyn teil der Moͤren lands durchren̄t,staden affricum vn̄ eyn teil der Moͤren lands durchrent,0.03571428571428571,0.2222222222222222
16,biß zuͦ den hochbergen der Moren ſo alſo von Ptolomeo,biß zu den hochbergen der Moren so alſo von Ptolomeo,0.03773584905660377,0.2
17,genēpt wirt/ Das zuͦ dißen zeitē von den vnſern dz grün̄,geneppt wirt/Das zu diſſen zeite von den vnſern dz grün,0.14285714285714285,0.6363636363636364
18,houpt genempt wirt/ vn̄ von den Morē beſeglitte/ vnd,houpt genempt wirt / vn von den Moͤße beseglitte / vnd,0.1346153846153846,0.6666666666666666
19,die ſelbe lantſchafft Mandinglia vierzehē gradus innert,die selbe lantschafft Mandinglia vierzehē gradus innert,0.03636363636363636,0.42857142857142855
20,der krummen ſchnuͦr genāt Torrida zona/ von der lyniē,der krummen schnuͤr genaͤt Torrida zona / von der lymen,0.1509433962264151,0.5555555555555556
21,equinoctiali gegen Mitternacht die von ſchwartzen lü¬,equinoctiali gegen Mitternacht die von schwartzen li¬,0.03773584905660377,0.2857142857142857
22,ten vnd voͤlckern bewōt wirt/ da ſelbs nach raſtung vn̄,ten vnd völckern bewdt wirt / da selbs nach rastung vn̄,0.10909090909090909,0.6
23,widerlabung vnſer krafft vnnd nottürfftiger dingen zuͦ,widerlabung vnser krafft vnnd notturfftiger dingen zu,0.05555555555555555,0.42857142857142855
24,vnſer ſchiffung/ huͦben wir die encker vff vn̄ zertan̄tē die,vnſer ſchiffung/ hüben wir die encker vff vn zertanten die,0.1,0.3
25,ſegel in winde vnd in vnſern weg durch das allerwildeſt,segel in winde vnd in vnſern weg durch das allerwildſt,0.03636363636363636,0.2
26,groß mere Occeanum/ vnd fuͦrē gegen dem wider sibēge,groß mere Occeanum/vnd füre gegen dem wider: ſibege,0.1346153846153846,0.5555555555555556
27,ſtirn gen Ancarticies/ ein wenig gegē der Sonnē nyder,ſtirn gen Ancarticies/ ein wenig gegē der Sonnē nyder,0.0,0.2222222222222222
28,gang wandten wir durch den wynd genant vulturnus,gang wandten wir durch den wynd genant vulturnus,0.0,0.0
29,vnd von dem tag als wir abſchieden von dē gemelten ho,vnd von dem tag als wir abschieden von de gemelten ho,0.03773584905660377,0.18181818181818182
30,chgebürg zwen Monet vn̄ drig tag ſchyfften wir ee das,chgebürg zwen Monet vn̄ drig tag schyfften wir ee das,0.018867924528301886,0.1
31,vnß land oder ertrich ze ſehen ward/ Was wir aber in ſo,vnß land oder ertrich ze sehen ward / Was wir aber in so,0.05454545454545454,0.3333333333333333
32,licher willde des Mers/ gelitten haben/ vnd was ſorgkli¬,licher wilde des Mers/gelitten haben/vnd was sorgkli¬,0.07142857142857142,0.6666666666666666
33,A ii,An,0.75,1.0
