line_number,ground_truth,transcription,cer,wer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbſcheyn vnſ da wir disen landen zū kamen,0.1111111111111111,0.4,7474188,openai
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,deñ vns was abgangen an holtz an wasser / vnnd hetten,0.09433962264150944,0.3,7474188,openai
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben / vnd vff dem mere vnßer,0.019230769230769232,0.2,7474188,openai
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten / Im sie ere vnd gloria vnd danck gesagt /,0.08928571428571429,0.6,7474188,openai
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate dz wir fuͤre nach dem begriff des,0.037037037037037035,0.09090909090909091,7474188,openai
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,staden vn̄ des lands diser lantschafft gegen der Sonnen,0.09259259259259259,0.4444444444444444,7474188,openai
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,vffgang vn̄ die ansehung solichs lands nyemer ze lassen/,0.07142857142857142,0.3333333333333333,7474188,openai
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,Und zu stundan durch füren wir das / damit wir kämē,0.11538461538461539,0.6,7474188,openai
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.018518518518518517,0.1,7474188,openai
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am ersten das land traf,0.03636363636363636,0.16666666666666666,7474188,openai
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen biß zu disem winckel waren by dryhundert welscher,0.05555555555555555,0.3333333333333333,7474188,openai
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male/vnd in zyt dißer schiffung sind wir zu dickern malen,0.13559322033898305,0.6363636363636364,7474188,openai
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,zu land gefaren vnd haben fruntlich gesprech vnnd wan,0.05555555555555555,0.3333333333333333,7474188,openai
14,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem selben volck gehept als du hienach vernemen,0.01818181818181818,0.1,7474188,openai
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,wirdest/ Mir was vergessen dir ze schriben das von dem,0.07407407407407407,0.3,7474188,openai
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des grüne houpts biß zu anfang diser bewon¬,0.07407407407407407,0.4444444444444444,7474188,openai
17,den landtſchafft ſind by Sibenhundert welſcher milen,den landtschafft ſind by Sibenhundert welſcher milen,0.019230769230769232,0.14285714285714285,7474188,openai
18,Wie wol ich meyn das wir me den̄ Tuſent vn̄ achthun¬,Wie wol ich meyn das wir meden Tusent vn̄ achthume,0.09615384615384616,0.36363636363636365,7474188,openai
19,dert mile gefaren ſo von vnwiſſenheyt d̓ ſtetten vn̄ ſchiff¬,dert mile gefaren so von vnwissenheyt stetten vn̄ schiff¬,0.13333333333333333,0.5,7474188,openai
20,meiſters ſo von vngewitter vnd von winden verhindert,meisters ſo von vngewitter vnd von winden verhindert,0.019230769230769232,0.125,7474188,openai
21,die vnßern ſchlechten weg widertriben zuͦ ſtetten vnd vil,die vnſern ſchlechten weg widertriben zu ſtetten vnd vil,0.03508771929824561,0.2222222222222222,7474188,openai
22,abwendungen/ Den̄ wen min geſellen ir gemüt vnd ver.,abwendungen / Den̄ wen min gesellen ir gemuͤr vnd ver-,0.11538461538461539,0.5555555555555556,7474188,openai
23,truwen nit zuͦ mir geſetzt hetten/ ſo mir bekantlich was d̓,truwen nit zu mir gesetzt hetten/so mir bekantlich was ẜ,0.1016949152542373,0.45454545454545453,7474188,openai
24,groſſen welt lantſterlugūg vnd gelegenheit ſo weis kein,grossen welt lantsterlugung vnd gelegenheit so weis kein,0.10909090909090909,0.375,7474188,openai
25,ſchiffman oder wegwiſer vnßer fart der ioch by fünffhū,schiffman oder wegwiſer vnſer fart der ioch by fünffhun,0.07407407407407407,0.3333333333333333,7474188,openai
26,dert milen wußte wō wir waren/ Denn wir waren vmb¬,dert milen wußte wo wir waren/ Denn wir waren vnß,0.08,0.2,7474188,openai
27,ſchweiffig vnd irrig/ Den̄ allein der himelſchen zeichen,schweiffig vnd irrig / Denn allein der himelschen zeichen,0.07142857142857142,0.625,7474188,openai
28,hohe waren vns zuͦbewiſung vnd zoͤugten vns warheyt,hohe waren vns zuͤbewisung vnd zōugten vns warheyt,0.0784313725490196,0.25,7474188,openai
29,verlorner dingen vnd die ſelben waren vns der quadrāt,verlorner dingen vnd die selben waren vns der quadrat,0.03773584905660377,0.2222222222222222,7474188,openai
30,vnd das Aſtralabium als ſy alle erkantē/ Hie von ſi alle,vnd das Astralabium als ſy alle erkante/ hie von ſi alle,0.05357142857142857,0.2727272727272727,7474188,openai
31,mich in groſſen eren hielten/ Denn ich zoigt inen das on,mich in groſſen eren hielten/ Denn ich zoigt inen das ow,0.017857142857142856,0.09090909090909091,7474188,openai
32,die verſchreibnen meres karten kunſt der ſchiffung ich be,die verschreibnen meres karten kunst der schifflung ich be,0.07017543859649122,0.3333333333333333,7474188,openai
33,richter was dan̄ alle Schiffherren der gantzen welt den̄,richter was dan alle Schiffherren der gantzen welt deñ,0.05357142857142857,0.2222222222222222,7474188,openai
34,A iii,A iii,0.0,0.0,7474188,openai
