line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,über vnd on das in yeglichen oren die mit dryen loͤchern,tiber vnd on das in veglichen ozen die mit beyen loͤchern,0.10714285714285714,0.36363636363636365,0.36363636363636365,7474191,mistral
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch ſtochen ſynd/ ſy noch ander ſteyn tragen die in tun,0.05357142857142857,0.18181818181818182,0.18181818181818182,7474191,mistral
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,gen hangen vn̄ diß wiſe vnd ſtreten iſt allein der manne/,0.07142857142857142,0.18181818181818182,0.18181818181818182,7474191,mistral
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Den die frowen zerſtechen innen ſelbs ir andlitz mit aller,0.10344827586206896,0.4,0.4,7474191,mistral
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit loͤchering den alleyn die ozen/ Enn ander ſy vnd,0.07547169811320754,0.4,0.4,7474191,mistral
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyke iſt ouch oder vnd by inen gnůg abwyſig vn̄ reẏ,0.16666666666666666,0.45454545454545453,0.45454545454545453,7474191,mistral
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menſchliche glaubung/ So iſt frowen die eben,0.09433962264150944,0.2222222222222222,0.2222222222222222,7474191,mistral
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,geluſtig vnd geligirig ſynd/ vnd ienen mannen machen,0.057692307692307696,0.25,0.25,7474191,mistral
9,das ienen ir büch geſchwellen in ſollicher über meſtung,das tenen ir lich gelichwollen in foͤllicher uber meſſung,0.18181818181818182,0.6666666666666666,0.6666666666666666,7474191,mistral
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das ſy/ vngelſtalt vn̄ mechlich erthyonen vnd dz ſind ſy,0.12280701754385964,0.4,0.4,7474191,mistral
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ernwaſ ſunnde vn̄ gnagung erlicher gifftigen thiere/,0.17857142857142858,0.5,0.5,7474191,mistral
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von foͤllicher ſach geſchicht das ierer vil ir gemech,0.08928571428571429,0.3,0.3,7474191,mistral
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren vnd tenen von mangels wegen der arſnye fulē,0.1111111111111111,0.3333333333333333,0.3333333333333333,7474191,mistral
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vnd bliben on gemech/ Et haben ſeyn ſich noch teckinē,0.1111111111111111,0.3,0.3,7474191,mistral
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,weber lyniſ noch baumpollung/ Denn ſy dez nit bedorff,0.1509433962264151,0.5555555555555556,0.5555555555555556,7474191,mistral
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vnd haben ſeyn eygen gut/ Sunder alle ding ſund in,0.05454545454545454,0.2727272727272727,0.2727272727272727,7474191,mistral
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein/ Si leſs famenhaft on ſring on gebieter vn̄,0.14545454545454545,0.3,0.3,7474191,mistral
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,iſt ir vegliches im felbs hert/ So vil wiber niemen ſy fo,0.10714285714285714,0.4166666666666667,0.4166666666666667,7474191,mistral
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil ſy wollen/ vnd ſy nim mit der nunter on der baſler mit,0.22950819672131148,0.46153846153846156,0.46153846153846156,7474191,mistral
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der ſchwoſter vnd der erſt nit der erſten vnd der begeg,0.05357142857142857,0.2727272727272727,0.2727272727272727,7474191,mistral
21,ner mit der begegneten veruneynigen ſich/ Als dick als,ner nit der begegneten verunreynigen ſich/ Als dief alſ,0.09259259259259259,0.4444444444444444,0.4444444444444444,7474191,mistral
22,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,ſy wollen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,0.01694915254237288,0.09090909090909091,0.09090909090909091,7474191,mistral
23,lichem gantz keyn ordnung/ Darumb habē ſy keynen tē¬,liebem gang ſeyn oͤnning/ Darumb habē ſy ſynen ſe,0.25,0.6666666666666666,0.6666666666666666,7474191,mistral
24,pel vnd halten keyn geſatzt vnd ſind nit abgetere/ Was,pel vnd halten ſeyn gefaſz vnd ſind mit abgeſtere/ Was,0.1111111111111111,0.4,0.4,7474191,mistral
25,ſol ich me ſagē Sy leben nach der natur das ſy wol epi¬,ſolich me ſagē/ Sy leben nach der natur das ſy wol eẏn,0.09090909090909091,0.3076923076923077,0.3076923076923077,7474191,mistral
