line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cher verderbung ſchiffbruchē was liplicher vnfuͦrē wyr,cher verſetzung ſchiffſturch waß liplicher vnſure vÿr,0.24074074074074073,0.7142857142857143,0.7142857142857143,7474187,openai
2,gelitten habē/ Und mit was angſtē vnſers gemuͤtes wir,gelitten habe/ Und mit waß angſte vnſers gemuͤtes wir,0.05660377358490566,0.3333333333333333,0.3333333333333333,7474187,openai
3,gearbeit habē/ mein ich/ gib ich denen ze bedenckē die vß,gearbeit habe/ mein ich/ ſich ich denn ſe bedenckte die vſ,0.15789473684210525,0.5454545454545454,0.5454545454545454,7474187,openai
4,vil dingen erfarūg wol wiſſen/ waſda ſie vngewiſſe ding,ſol dingen erfarnig wol wiſſen/ wa da ſe vngewiſſe ding,0.10909090909090909,0.5555555555555556,0.5555555555555556,7474187,openai
5,ſuͦchen/ vnnd nit wiſſen ob die ſien zuͦ erfaren/ Und das,ſuchen/ vnnd nit wiſſen ob die ſen ſi erfarn/ Und das,0.10526315789473684,0.36363636363636365,0.36363636363636365,7474187,openai
6,ich mit eynem wort alle ding begriffe/ ſolt du wiſſen das,ich mit eynem wort alle ding begriff/ ſo da wiſſendſ,0.12280701754385964,0.45454545454545453,0.45454545454545453,7474187,openai
7,in Sechtzig tagen vnnd ſiben tagen die wir ſchiffeten,in Sechzig tagen vnnd ſiben tagen die wir ſchifferten,0.03773584905660377,0.2222222222222222,0.2222222222222222,7474187,openai
8,vier vnd viertzig tag on vnderlaß an einander gehept ha,vnd vier vnd vierzig tag an vnſerlaß an eimander geſtÿn,0.2545454545454545,0.7,0.6,7474187,openai
9,ben mit regen tonnern vnd blitzgen ſo gar finſter dz wir,ben mit regen tonnern vnnd ſtürmen zuͦ fürſten des hy,0.375,0.6363636363636364,0.6363636363636364,7474187,openai
10,weder Sonnē im tag noch liechtē hymel in der nacht nie,neden Sonne im tag noch lieche bynn in die nacht zuͦ,0.25925925925925924,0.5454545454545454,0.5454545454545454,7474187,openai
11,geſehen haben/ Da von ſo geſchach dz vns ſolicher groſ¬,geſehen haben/ Da von ſo ſe ſchöpffung vnd geſchöpff,0.4,0.5,0.5,7474187,openai
12,ſer ſchrecken infiel dz wir gar nach alle hoffnung vnſers,ſer ſchechten inſel vſ wir gar nach alle hoffnung vnd,0.19298245614035087,0.4,0.4,7474187,openai
13,lebens hinwurffen/ In ſoͤlichen angſten dennoch vn̄ ſo,lebens himmelſter/ In ſolichen angſten ſo wir vnd,0.35185185185185186,0.625,0.5,7474187,openai
14,wüetungen des mers vnnd des hymels gefiel dem hoch,wiſſen vnd des mers vnnd des hymels geſtalt vnd nach,0.32,0.5555555555555556,0.5555555555555556,7474187,openai
15,ſten gott vns ze zoigen ingewont ertrich vnnd nüw lant,ſten gott meͤ zuͦ ſorigen vnnd erfarigen vnd nit kun,0.4444444444444444,0.8,0.7,7474187,openai
16,ſchafften vnd ein vnbekante welt/ Das wir nach der ſel¬,ſchaften vnd ein vnbeſtante welt/ Das nit nach der le,0.14545454545454545,0.4,0.4,7474187,openai
17,ben bſehung mit ſo groſſen freiden durchgoſſen ſynd als,ben ſcheynung nit groſſen freiden durchgeſen ſÿnd als,0.21818181818181817,0.5555555555555556,0.5555555555555556,7474187,openai
18,yemant wol bedencken mag/ wie gewonlich denen geſchi,gemant wol bedencken mag/ wie genonlich denn geſchÿ,0.07692307692307693,0.5,0.5,7474187,openai
19,cht die vß vil mengerley betrüpnüßen vnd vnfal vnd vß,che die vſ pil mengeliger betrübnüſſen vnſal vnſo vil,0.3584905660377358,0.9,0.8,7474187,openai
20,widerſpeningen glück verheilet vnd funden/ vn̄ eruolgt,widerſpenningen glüͤck verbeilet vnd funden/ vn erulob,0.12962962962962962,0.7142857142857143,0.7142857142857143,7474187,openai
21,haben/ Alſo an dē Sibenden tag des monats Ouguſten,haben/ Alſo an die Siben den tag des monats Auguſten,0.08,0.4444444444444444,0.4444444444444444,7474187,openai
22,Thuſent finffhūdert vn̄ ein ior/ In d̓ gemeltē lātſchafftē,Tzuͤſent fünfhundert vn ein tor/ In gmeinelicherſchaffe,0.3793103448275862,0.7777777777777778,0.7777777777777778,7474187,openai
23,ſtaden vnd zuͦlendung wurffen wir die encker in/ got vn,ſtaden vnd ſilendung vnſſen wir die echer in/ got vn,0.18181818181818182,0.3,0.3,7474187,openai
24,ſerm herren lobſagendt mit hochzierlicher byt vnd gebet,den hertzen lobſagenden mit hochüblicher frynt vnnd ge,0.32727272727272727,0.875,0.875,7474187,openai
25,vnd mit geſang eyner zierlichen meß/ Da erkanten wir,und mit geſang eynge ſtierlich me/ Da erlannten wir,0.19230769230769232,0.5555555555555556,0.5555555555555556,7474187,openai
26,das land vnd ertrich nit ein inſel ſin/ ſunder ein ingewōt,das land vnd ettrich nit ein ful/ ſunder ein nit ein,0.25862068965517243,0.45454545454545453,0.36363636363636365,7474187,openai
27,land denn ſich ſoͤlichs ſtrackt mit faſt langen ſtaden nitt,land denn ſich ſolichs ſtract mit ſalſlangen ſtaden vnd,0.1694915254237288,0.5,0.5,7474187,openai
28,mit vmbzuͦgonen die da vmbgiengen vnd voll iſt on zall,mit vnnbizigen die da vmbtigen vnd vmbtigen vnd alſ,0.3888888888888889,0.6,0.6,7474187,openai
29,vil inwonender lüten denn wir dar ingefunden habē on,vil immoͤndizer lüten denn wo dar ingeſtunden habe oͤ,0.23076923076923078,0.5555555555555556,0.5555555555555556,7474187,openai
30,zal vil voͤlcker vnd lüt vnd aller wald thieren geſchlecht,sal vil ſolicher vnnd lüt vnd Alle walds thier geſchlecht,0.1896551724137931,0.6,0.6,7474187,openai
31,ſo man in/ vnſern landen fyndt/ vnnd vil ander ding ſo,oͤ man in/ Meſten landen frynd vnnd alle erden ſo,0.3333333333333333,0.5454545454545454,0.5454545454545454,7474187,openai
32,vor von vnß nie geſehen ſynd von den ſelben allen were,von vnſ nit geſehen ſÿnd von den ſelben allen were,0.12962962962962962,0.36363636363636365,0.36363636363636365,7474187,openai
33,gar vil vnd lang ze ſagen/ Groſſe genad vnd barmhertzi,gar vil vnd lang ze ſagen/ Groſſe genao vnd ſamherzig,0.09259259259259259,0.2,0.2,7474187,openai
