line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cht bringen am koſten vnnd geſmackt lieplich vnd luͦſtli¬,chē bringen am koſten vnnd geſmackt lieplich vnd luͤſtlich,0.07017543859649122,0.2222222222222222,0.2222222222222222,7474194,mistral
2,ch vnd den menſchlichen liben nützlich vn̄ komlich/ Da,vnd den menſchlichen liben nuͤtzlich vnd komlich/ Sa,0.12962962962962962,0.4444444444444444,0.4444444444444444,7474194,mistral
3,gegen ouch ſind etlich anders weſens vnnd keyn fruchtt,gegen ouch ſind etlich anders weſens vnd keyn frucht,0.037037037037037035,0.2222222222222222,0.2222222222222222,7474194,mistral
4,ſynd vnſeran früchten vnd opß gleich/ Da wachßen ou¬,gegen ouch ſind etlich anders weſens vnd keyn frucht,0.8653846153846154,1.0,0.8888888888888888,7474194,mistral
5,ch über alle zal vil vnd mengerley krüter geſtalten vnd,ſind vnſeran früchten vnd opß gleich/ Sa wachſen on,0.7636363636363637,1.0,0.9,7474194,mistral
6,wurtzen vß denen ſy brot machen/ vnd die aller beſten ge,ich v̄ber alle zal vil vnd mengerley früter geſtalten vnd,0.7857142857142857,0.9090909090909091,0.9090909090909091,7474194,mistral
7,muͤſe haben ſy vnnd vil ſamen diſen vnſern ſamen gantz,wurzen vß denen ſy brot machen/ vnd die allerbeſten ge,0.6851851851851852,1.0,0.9,7474194,mistral
8,vnglich/ Da ſind ouch keynerley metallen vnd geſchmid,muͤſe haben ſy vnd vil ſamen diſen vnſern ſamen gantz,0.8490566037735849,1.25,1.125,7474194,mistral
9,den̄ allein gold da vō diß region vn̄ land überflieſſen wie,vnglich/ Sa ſind ouch keynerley metallen vnd geſchmid,0.8135593220338984,1.0,1.0,7474194,mistral
10,wol wir des nützit mit vnß namen/ In dißer erſten vnſer,den allein gold da vō diſe region vnd land v̄berflieſſen wie,0.8181818181818182,1.0,1.0,7474194,mistral
11,ſchiffart/ Und das ſagen vnß die inwonere vnd ſprachē,wol wir deſ nützit mit vnſ namen/ In diſer erſten vnſer,0.8113207547169812,1.2222222222222223,1.2222222222222223,7474194,mistral
12,das in der mittliſten gegne diſes lands große volle ſie deſ,ſchiffart/ Vnd daſ ſagen vnſ die inwoͤner vnd ſprachen,0.7796610169491526,1.0,1.0,7474194,mistral
13,goldes vnd von ienen verachtet vnnd für nicht geſchetzt,daſ in der mittliſten gegne dieſ landes groſſe volle ſie deſ,0.8363636363636363,1.2222222222222223,1.2222222222222223,7474194,mistral
14,werde/ Sye überflüſſig von edelem geſteyn/ Marga¬,goldes vnd von ienen verachtet vnd fur nicht geſchetzt,0.9387755102040817,1.2857142857142858,1.1428571428571428,7474194,mistral
15,eiten/ Als ich dyr vor me geſchryben hab/ Wenn ich,werde/ Sye v̄berflüſſig von edelem geſteyn/ Marga¬,0.84,1.0,1.0,7474194,mistral
16,wolt alle vnnd yegliche ding erzellen dye da ſynd vnd,reiten/ Als ich dir vor me geſchryben hab/ Wenn ich,0.7358490566037735,1.0,1.0,7474194,mistral
17,von den on zall mengerley thieren geſchlecht vnnd der,wolt alle vnd yegliche ding erze̅llen die ſynd vnd,0.7735849056603774,1.0,1.0,7474194,mistral
18,ſelben vile/ Das were eyn ding gar zelang vnd on maß,von den on zal mengerley thieren geſchlecht vnd der,0.75,0.9090909090909091,0.8181818181818182,7474194,mistral
19,Und ſlechtliche glaub ich das vnßer plimus dem tuſent¬,ſelben vile/ Daſ were eyn ding gar zelang vnd on maſ,0.8518518518518519,1.2222222222222223,1.2222222222222223,7474194,mistral
20,teyl nit zuͦkomen ſye/ Des volcks der Sitkuſten vnd der,Vnd ſiechtliche glaub ich daſ vnſer plimus dem tuſent,0.8181818181818182,1.0,1.0,7474194,mistral
21,andern voͤgelen vnnd der thyeren die in den ſelben lan¬,teyl nit zuͤkomen ſye/ Des volcks der ſitkusten vnd der,0.7818181818181819,1.0,0.9,7474194,mistral
22,den ſynd Mit ſo mengerley vnderſcheydt der antlitten,andern voͤgelen vnd der thyeren die in den ſelben lan,0.7692307692307693,1.25,1.0,7474194,mistral
23,vnd frouwen das der volkomneſten lyt Maler kunſt ver,den ſynd ſo mengerley vnderscheydt der antlitten.,0.8076923076923077,1.0,0.8888888888888888,7474194,mistral
24,rumpt Meiſter Pollicletus die abzemalē erlygen müſte,vnd frouwen daſ der volkomnesten lyt Waler kunst ver,0.8076923076923077,1.2857142857142858,1.2857142857142858,7474194,mistral
25,Da ſynd alle boum guͦtds vnnd wolgeſchmackes vnd,rumpt/ Meiſter Pollicletus die abzemalen erlygen muͤſte,0.9583333333333334,1.0,1.0,7474194,mistral
26,bryngen alle ettwas oͤls oder ſolicher füchtigkeyt/ Wen̄,Sa ſynd alle boum guͤt vnd wolgeſchmackes vnd,0.6785714285714286,1.0,0.875,7474194,mistral
27,ir krafft vnnd eygenſchafft vnnß bekant were zwifelen,bryngen alle ettwas oͤls oder ſolicher fuchtigkeyt/ Wenn,0.9245283018867925,1.0,1.0,7474194,mistral
28,ich nit den das ſye der menſchen lyben zuͦ artzenye groſ,ir krafft vnd eygenſchafft vnns bekant were zwifelen,0.8035714285714286,1.0,1.0,7474194,mistral
29,ſer heylung ſyn ſolten/ Unnd on zwyfel halt ich ob der,ich nit daſ ſye der menſchen lyben zu artzenye groſ,0.7777777777777778,1.0,0.8181818181818182,7474194,mistral
