line_number,ground_truth,transcription,cer,wer,document_id,method
1,über vnd on das in yeglichen oren die mit dryen loͤchern,über vnd on das in yeglichen oren die mit dryen loͤchern,0.0,0.0,7474191,transkribus
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch stochen synd sy noch ander steyn tragen die in rin,0.07142857142857142,0.36363636363636365,7474191,transkribus
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,"gen hangen vn diß wise vnd sytten ist allein der mannen,",0.125,0.45454545454545453,7474191,transkribus
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Sen die frowen zerstechen innen selbs ir antlitz nit also,0.08620689655172414,0.4,7474191,transkribus
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit löcherung den alleyn die oren / Eyn ander syt vnd,0.07547169811320754,0.4,7474191,transkribus
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyse ist ouch vnder vnd by ienen gnuͤg abwysig vn̄ wi¬,0.07407407407407407,0.36363636363636365,7474191,transkribus
7,der alle menſchliche glaubung/ Das ir frowen die eben,"der alle menschliche glaubung, Das ir frowen die eben",0.03773584905660377,0.2222222222222222,7474191,transkribus
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,gelustig vnd geilgirig synd / vnd ieren mannen machen,0.057692307692307696,0.375,7474191,transkribus
9,das ienen ir büch geſchwellen in ſollicher über meſtung,das ienen ir Büch geschwellen in sollicher über mestung,0.07272727272727272,0.4444444444444444,7474191,transkribus
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das sy vngestalt vn smechlich ersthynen vnd ꝺz tuͤnd sy,0.15789473684210525,0.8,7474191,transkribus
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ettwas funden vn gnagung ettlicher gifftigen thiere /,0.10714285714285714,0.5,7474191,transkribus
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von solicher sach geschicht das ierer vil ir gemecht,0.07142857142857142,0.4,7474191,transkribus
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren die ienen von mangels wegen der artznye fulen,0.037037037037037035,0.1111111111111111,7474191,transkribus
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vnd Bliben on gemech/ Si haben keyn tuͤch noch teckinem,0.07407407407407407,0.3,7474191,transkribus
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,"weder lynis noch Baumwollins, Denn sy des nit bedörf",0.09433962264150944,0.3333333333333333,7474191,transkribus
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vnd haben keyn eygen guͤt / Sunder alle ding sind in¬,0.07272727272727272,0.36363636363636365,7474191,transkribus
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein. Si leben samenhafft on kiinig on gebieter vn̄,0.10909090909090909,0.4,7474191,transkribus
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,"ist ir yeglicher im selbst herr, So vil wißer nemen sy so",0.125,0.5,7474191,transkribus
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil sy woͤllen/ vnd ô sun mit der muͤter vn̄ der bruͤder mit,0.09836065573770492,0.38461538461538464,7474191,transkribus
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der schwester vnd der erst mit der ersten vnd degeg¬,0.14285714285714285,0.45454545454545453,7474191,transkribus
21,ner mit der begegneten veruneynigen ſich/ Als dick als,ner mit der begegneten veruneynigen sich/ Als dick als,0.018518518518518517,0.1111111111111111,7474191,transkribus
22,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,sy woͤllen scheiden sy die vermehletig ee/ vnd halten in so,0.06779661016949153,0.36363636363636365,7474191,transkribus
23,lichem gantz keyn ordnung/ Darumb habē ſy keynen tē¬,lichem gantz keyn ordnung / Darumb haben sy keynen te,0.11538461538461539,0.5555555555555556,7474191,transkribus
24,pel vnd halten keyn geſatzt vnd ſind nit abgetere/ Was,pel vnd halten keyn gesatzt vnd sind nit abgetere / Was,0.05555555555555555,0.4,7474191,transkribus
