cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.029956427015250545,0.14465408805031446,0.14465408805031446,False,34,35,7474188,gemini
0.0187683284457478,0.10247349823321555,0.10247349823321555,True,31,31,7474189,gemini
0.0584070796460177,0.2689655172413793,0.2689655172413793,False,31,1,7474194,gemini
0.015025041736227046,0.07692307692307693,0.07692307692307693,True,33,33,7474190,gemini
0.04580152671755725,0.25,0.25,False,4,7,7474184,gemini
0.036005434782608696,0.1626984126984127,0.15873015873015872,False,28,29,7474185,gemini
0.03806970509383378,0.14792899408284024,0.14497041420118342,True,33,33,7474191,gemini
0.03106267029972752,0.138801261829653,0.13564668769716087,True,33,33,7474187,gemini
0.03687150837988827,0.14779874213836477,0.14779874213836477,True,32,32,7474193,gemini
0.0379746835443038,0.1601423487544484,0.15658362989323843,True,33,33,7474186,gemini
