line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,über vnd on das in yeglichen oren die mit dryen loͤchern,uͤber vnd on das in yeglichen oren die mit dryen loͤchern,0.03571428571428571,0.09090909090909091,0.09090909090909091,7474191,openai
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin¬,0.017857142857142856,0.09090909090909091,0.09090909090909091,7474191,openai
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,gen hangen vn̄ diß wiſe vn̄ ſytten iſt allein der mannen/,0.05357142857142857,0.18181818181818182,0.18181818181818182,7474191,openai
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,0.0,0.0,0.0,7474191,openai
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit loͤcherung den̄ alleyn die oren/ Eyn ander ſyt vn̄,0.03773584905660377,0.2,0.2,7474191,openai
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyſe iſt ouch vnder vn̄ by ienen gnuͤg abwyſig vn̄ wi¬,0.05555555555555555,0.2727272727272727,0.2727272727272727,7474191,openai
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menſchliche glaubung/ Das ir frowen die eben,0.0,0.0,0.0,7474191,openai
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,geͤluſtig vn̄ geilgirig ſynd/ vn̄ ieren mannen machen,0.057692307692307696,0.375,0.375,7474191,openai
9,das ienen ir büch geſchwellen in ſollicher über meſtung,daß ienen ir Buͤch geſchwellen in ſollicher uͤber meſtung,0.10909090909090909,0.3333333333333333,0.3333333333333333,7474191,openai
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,daß ſy vngeſtalt vn̄ ſmechlich erſthynen vn̄ dz tuͤnd ſy,0.07017543859649122,0.4,0.4,7474191,openai
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ettwas funden vn̄ gnagung ettlicher gifftigen thiere/,0.07142857142857142,0.25,0.25,7474191,openai
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von ſolicher ſach geſchicht daß ierer vil ir gemecht,0.03571428571428571,0.2,0.2,7474191,openai
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren die ienen von mangels wegen der artznye fulen,0.037037037037037035,0.1111111111111111,0.1111111111111111,7474191,openai
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vn̄ Bliben on gemech/ Si haben keyn tuͤch noch teckinem,0.09259259259259259,0.4,0.4,7474191,openai
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,weder lynis noch Baumwollins/ Denn̄ ſy des nit bedörf¬,0.09433962264150944,0.3333333333333333,0.3333333333333333,7474191,openai
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vn̄ haben keyn eygen guͤt/ Sunder alle ding ſind in¬,0.05454545454545454,0.2727272727272727,0.2727272727272727,7474191,openai
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein/ Si leben ſamenhafft on kiinig on gebieter vn̄,0.07272727272727272,0.2,0.2,7474191,openai
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,iſt ir yeglicher im ſelbs herr/ So vil wißer nemen ſy ſo,0.017857142857142856,0.08333333333333333,0.08333333333333333,7474191,openai
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil ſy woͤllen/ vn̄ ô ſun mit der muͤter vn̄ der bruͤder mit,0.08196721311475409,0.3076923076923077,0.3076923076923077,7474191,openai
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der ſchwester vn̄ der erſt mit der erſten vn̄ degeg¬,0.125,0.45454545454545453,0.45454545454545453,7474191,openai
21,ner mit der begegneten veruneynigen ſich/ Als dick als,ner mit der begegneten veruneynigen ſich/ Alß dick alß,0.037037037037037035,0.2222222222222222,0.2222222222222222,7474191,openai
22,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,ſy woͤllen ſcheiden ſy die vermehletig ee/ vn̄ halten in ſo,0.01694915254237288,0.09090909090909091,0.09090909090909091,7474191,openai
23,lichem gantz keyn ordnung/ Darumb habē ſy keynen tē¬,lichem gantz keyn ordnung/ Darumb haben ſy keynen te¬,0.057692307692307696,0.2222222222222222,0.2222222222222222,7474191,openai
24,pel vnd halten keyn geſatzt vnd ſind nit abgetere/ Was,pel vn̄ halten keyn geſatzt vn̄ ſind nit abgetere/ Waß,0.05555555555555555,0.3,0.3,7474191,openai
25,ſol ich me ſagē Sy leben nach der natur das ſy wol epi¬,ſol ich me ſagen ſy leben nach der natur daß ſy wol epi¬,0.07272727272727272,0.23076923076923078,0.23076923076923078,7474191,openai
