line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,über vnd on das in yeglichen oren die mit dryen loͤchern,vber vnd ob das in yeglichen oren die mit hyern loͤchern\n,0.125,0.36363636363636365,0.36363636363636365,7474191,openai
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch ſtochen ſynd ſy noch anderſter magē die in iren\n,0.19642857142857142,0.36363636363636365,0.36363636363636365,7474191,openai
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,oren hangen wi biſſ wiſe vn̄ ſtern iſt allein der manne/\n,0.26785714285714285,0.5454545454545454,0.45454545454545453,7474191,openai
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Den die frowen verſechen vn̄ ſelbe ir antlitz nit alſo\n,0.1724137931034483,0.5,0.5,7474191,openai
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit loͤderung den̄ alleyn die oren/ Eyn ander iſt vnd\n,0.1320754716981132,0.4,0.4,7474191,openai
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyſe iſt ouch vndē vnd by iren gnuͤg vnd ouch vnd\n,0.35185185185185186,0.6363636363636364,0.6363636363636364,7474191,openai
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menſchliche glaubung/ Das ir frowen die eben\n,0.03773584905660377,0.1111111111111111,0.1111111111111111,7474191,openai
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,geluͤstig vn̄ geſitlig ſynd vn̄ iren mannen meͤr mach\n,0.3269230769230769,1.0,1.0,7474191,openai
9,das ienen ir büch geſchwellen in ſollicher über meſtung,das iren ir lib geſcholen als tollicher wiſen vnd fyn\n,0.45454545454545453,0.8888888888888888,0.8888888888888888,7474191,openai
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das ſy vngeſtat vñ menſchlich erkhwen vnd in ſyn\n,0.3508771929824561,0.8,0.7,7474191,openai
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit etwas ſindē vn̄ genedigliche chriſtgen geſchichtē\n,0.5,0.75,0.75,7474191,openai
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Und von ſolicher ſach geſchicht das ier vnd eyn\n,0.23214285714285715,0.4,0.4,7474191,openai
13,verlieren die ienen von mangels wegen der artznye fulē,verlierē die ieven von mancherley der artige ſule\n,0.35185185185185186,0.6666666666666666,0.6666666666666666,7474191,openai
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,von bilden vn̄ gemech/ Haben teyn ich noch ſeichte\n,0.4074074074074074,0.8,0.8,7474191,openai
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,vnder hynic noch baumwollens/ ſy ſind ouch nit\n,0.4528301886792453,0.7777777777777778,0.7777777777777778,7474191,openai
