line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,ſy nie me wüſſen den̄ von den ſtetten vnd landen die ſye,ſy nt. me wiſſen den von den ſteren vnd landen die ſye,0.10714285714285714,0.3333333333333333,0.3333333333333333,7474189,mistral
2,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vns,off vn dict Eygſchiffer vn erfaren hatten/ Vnð als vns,0.15517241379310345,0.6,0.6,7474189,mistral
3,an dem ende der egemelt wynckel eyn krūme erzoͤigt des,an dem ende der egemel wyrtel cyn Eyme erzögr deſ,0.24074074074074073,0.6,0.6,7474189,mistral
4,landſtaden gegen mittag wurden wür eyns ſolichs für¬,landſtaben gegen mittag wurben wir cyns ſolchs firs,0.1346153846153846,0.75,0.75,7474189,mistral
5,faren vnd ze erkunden was in den ſelben groſſen landen,faren vnd ze erfunden was in den felben groſſen landen,0.037037037037037035,0.2,0.2,7474189,mistral
6,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,were/ Vnð ſchiften alſo nach dem ſtaben by ſechſhun,0.09615384615384616,0.4444444444444444,0.4444444444444444,7474189,mistral
7,dert mylen wegs vnd zuͦm dickern̄ mal/ kamen wür vnd,dert mylen wegs vnd zim dickern mal/famen wir vnß,0.1346153846153846,0.6,0.6,7474189,mistral
8,giengen zelande beſprachtē vnd beredten wir vn̄ bewon,giengen zelande beſprachē vnd ſereden wir vnß bewon,0.07547169811320754,0.375,0.375,7474189,mistral
9,ten mit den inwonern̄ vnd lantſlüten der ſelben regionē,ten mit den inwonern vnd lamfiſten der felben regionē,0.12727272727272726,0.3333333333333333,0.3333333333333333,7474189,mistral
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangē,vnð wurben girlich vnd baiderlich von inen empfangē,0.1509433962264151,0.5,0.5,7474189,mistral
11,vnd blyben etwan dick fünffzehen oder zweintzig tag by,vnð ſlyßen erwan dich finffeſen oder zwaynzig tag by,0.2037037037037037,0.6666666666666666,0.6666666666666666,7474189,mistral
12,ienen ſtets vn̄ früntlich als liebe geſte mit ynen redende,ienen ſtete vñ frümlich als liebe geſte m rynen redende,0.13793103448275862,0.5,0.5,7474189,mistral
13,als du harnach vermercken würſt/ ye doch ſo iſt diſer be,als ôn barnach vermercten wir/ſt. ye doch ſo ift vnſer be,0.17857142857142858,0.5454545454545454,0.5454545454545454,7474189,mistral
