line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cher verderbung ſchiffbruchē was liplicher vnfuͦrē wyr,cher verderbung ſchiffbruch vnd liplicher vnſicher vÿr,0.2222222222222222,0.5714285714285714,0.5714285714285714,7474187,openai
2,gelitten habē/ Und mit was angſtē vnſers gemuͤtes wir,gleitten habe/ Vnd mit was angſte vnſers gemütes wir,0.1320754716981132,0.5555555555555556,0.5555555555555556,7474187,openai
3,gearbeit habē/ mein ich/ gib ich denen ze bedenckē die vß,greabtet habe/ mein ich/ ſich ich denn ſo bedencde die vñ,0.24561403508771928,0.6363636363636364,0.6363636363636364,7474187,openai
4,vil dingen erfarūg wol wiſſen/ waſda ſie vngewiſſe ding,ſol dingen erfarnig vol wiſſen/ wa da ſo vngewiſſe ding,0.14545454545454545,0.6666666666666666,0.6666666666666666,7474187,openai
5,ſuͦchen/ vnnd nit wiſſen ob die ſien zuͦ erfaren/ Und das,ſuchen/ vnnd nit wiſſen ob die ſen ſi erfarn/ Vnd das ich,0.19298245614035087,0.5454545454545454,0.5454545454545454,7474187,openai
6,ich mit eynem wort alle ding begriffe/ ſolt du wiſſen das,mit eyner woort alle dinge begriffe/ ſo vil vnſiſends a,0.3333333333333333,0.7272727272727273,0.7272727272727273,7474187,openai
7,in Sechtzig tagen vnnd ſiben tagen die wir ſchiffeten,in Sechzig tagen vnnd ſiben tagen die wir ſchiffert,0.07547169811320754,0.2222222222222222,0.2222222222222222,7474187,openai
8,vier vnd viertzig tag on vnderlaß an einander gehept ha,vnd vier vnd vierzig tag an vnſerlaß an einander geha,0.21818181818181817,0.6,0.5,7474187,openai
9,ben mit regen tonnern vnd blitzgen ſo gar finſter dz wir,ben mit regen tonnern vnnd bluſtern/ da wir ſen vnd,0.39285714285714285,0.6363636363636364,0.45454545454545453,7474187,openai
10,weder Sonnē im tag noch liechtē hymel in der nacht nie,weder Sonne tag noch liechte brynn in der nacht ge,0.2222222222222222,0.45454545454545453,0.45454545454545453,7474187,openai
11,geſehen haben/ Da von ſo geſchach dz vns ſolicher groſ¬,ſehen haben/ Da von ſo geſchach da wir in die nacht zu,0.36363636363636365,0.7,0.7,7474187,openai
12,ſer ſchrecken infiel dz wir gar nach alle hoffnung vnſers,ſer ſchechten inſel vÿr gar nach alle hoffnung vñer,0.22807017543859648,0.5,0.5,7474187,openai
13,lebens hinwurffen/ In ſoͤlichen angſten dennoch vn̄ ſo,lebens hinwetter ſten/ In ſolchen angſten ſo vñ,0.37037037037037035,0.75,0.5,7474187,openai
14,wüetungen des mers vnnd des hymels gefiel dem hoch,wienung des mers vnnd des hymels geſtelt vnd nach,0.24,0.4444444444444444,0.4444444444444444,7474187,openai
15,ſten gott vns ze zoigen ingewont ertrich vnnd nüw lant,"ſten gott me, ſe zoygen vnnd ſingen wir vñ zum troſt",0.5185185185185185,0.9,0.8,7474187,openai
16,ſchafften vnd ein vnbekante welt/ Das wir nach der ſel¬,ſchafften vñ ein vnbeſante welt/ Das nit nach der le,0.14545454545454545,0.4,0.4,7474187,openai
17,ben bſehung mit ſo groſſen freiden durchgoſſen ſynd als,ben ſcheynung nit groſſen freiden vnd hochgeſen ſynd als,0.2909090909090909,0.5555555555555556,0.4444444444444444,7474187,openai
18,yemant wol bedencken mag/ wie gewonlich denen geſchi,nemant wol bedencken mag/ wie genonlich denn geſchi,0.057692307692307696,0.375,0.375,7474187,openai
19,cht die vß vil mengerley betrüpnüßen vnd vnfal vnd vß,che die vñ pil mengelger betrübnüſſen vnſal vnſo vil,0.33962264150943394,0.9,0.8,7474187,openai
20,widerſpeningen glück verheilet vnd funden/ vn̄ eruolgt,widerſpeningen glüet verleibet vnd funden ſen eruloge,0.2037037037037037,0.7142857142857143,0.7142857142857143,7474187,openai
21,haben/ Alſo an dē Sibenden tag des monats Ouguſten,haben/ Also an die ſibenden tag des monats Auguſten,0.1,0.4444444444444444,0.4444444444444444,7474187,openai
22,Thuſent finffhūdert vn̄ ein ior/ In d̓ gemeltē lātſchafftē,T buſent ſinſtüber vñ ein tor/ In g emelſe läſſchaffte,0.3448275862068966,0.8888888888888888,0.8888888888888888,7474187,openai
23,ſtaden vnd zuͦlendung wurffen wir die encker in/ got vn,ſtaden vñ ſilendung vnſen wir die die echer in/ got vn,0.2727272727272727,0.5,0.5,7474187,openai
24,ſerm herren lobſagendt mit hochzierlicher byt vnd gebet,ſen herten lobhagnen mit hochüblicher ſyr vñ vnd,0.36363636363636365,0.875,0.75,7474187,openai
25,vnd mit geſang eyner zierlichen meß/ Da erkanten wir,und mit geſang eyner ſtierlichen me/ Da erlannten wir,0.11538461538461539,0.4444444444444444,0.4444444444444444,7474187,openai
26,das land vnd ertrich nit ein inſel ſin/ ſunder ein ingewōt,das land vnd ettrich nit ein ſul/ ſunder ein vñ das,0.25862068965517243,0.45454545454545453,0.36363636363636365,7474187,openai
27,land denn ſich ſoͤlichs ſtrackt mit faſt langen ſtaden nitt,land denn ſich ſoliches ſtract mit ſalſlangen ſtaden vñ,0.1864406779661017,0.5,0.5,7474187,openai
28,mit vmbzuͦgonen die da vmbgiengen vnd voll iſt on zall,mit vnnbizigen die da vnnbizigen vnd vollen in ſal,0.35185185185185186,0.6,0.6,7474187,openai
29,vil inwonender lüten denn wir dar ingefunden habē on,vil immonderne lüten denn wo dar ingeſunden habe o,0.21153846153846154,0.5555555555555556,0.5555555555555556,7474187,openai
30,zal vil voͤlcker vnd lüt vnd aller wald thieren geſchlecht,ſal vil volckter vñ lür vñ alle walds thier geſleche,0.25862068965517243,0.9,0.9,7474187,openai
31,ſo man in/ vnſern landen fyndt/ vnnd vil ander ding ſo,jo man in/ Meſten landen ſin vnd/ vnd alle ding ſo,0.3148148148148148,0.5454545454545454,0.5454545454545454,7474187,openai
32,vor von vnß nie geſehen ſynd von den ſelben allen were,von vñ vnſi nit geſehen ſynd von den ſelben allen were,0.1111111111111111,0.36363636363636365,0.2727272727272727,7474187,openai
33,gar vil vnd lang ze ſagen/ Groſſe genad vnd barmhertzi,gar vil vñ lang ze ſagen/ Groſſe genao vñ ſamherzig,0.16666666666666666,0.4,0.4,7474187,openai
